SYMBOL,degree,is_biomarker,UniProt,emb_idx
ABAT,14,0,P80404,4307.0
ABCA6,4,0,Q8N139,6789.0
ABCA9,2,0,Q8IUA7,12005.0
ACAA2,14,0,P42765,12552.0
ACACB,8,0,O00763,17756.0
ACADL,10,0,P28330,11120.0
ACADS,20,0,P16219,10340.0
ACKR1,10,0,Q16570,3629.0
ACKR3,18,0,P25106,10717.0
ACKR4,6,0,Q9NPB9,4590.0
ACO1,8,0,P21399,10700.0
ACSL1,18,0,P33121,9840.0
ACSM5,4,0,Q6NUN0,6030.0
ACSS2,24,0,Q9NR19,7781.0
ACSS3,14,0,Q9H6R3,423.0
ACVR1C,8,0,Q8NER5,11752.0
ADAM12,8,0,O43184,7001.0
ADAMTS3,8,0,O15072,14624.0
ADAMTS5,4,0,Q9UNA0,15421.0
ADAMTSL4,2,0,Q6UY14,5836.0
ADCY4,28,0,Q8NFM4,3012.0
ADCYAP1R1,4,0,P41586,14059.0
ADGRA2,6,0,Q96PE1,830.0
ADGRD1,4,0,Q6QNK2,11340.0
ADGRL4,2,0,Q9HBW9,14528.0
ADH1B,18,0,P00325,15977.0
ADH1C,18,0,P00326,11353.0
ADHFE1,12,0,Q8IWW8,11746.0
ADIPOQ,38,0,Q15848,6216.0
ADIRF,2,0,Q15847,12490.0
ADM,4,0,P35318,17478.0
ADRA1A,2,0,P35348,7468.0
ADRA2A,2,0,P08913,465.0
ADRB1,6,0,P08588,16716.0
ADRB2,28,0,P07550,9661.0
AGPAT2,22,0,O15120,4690.0
AGR2,8,0,O95994,17502.0
AGTR1,6,0,P30556,314.0
AHNAK,10,0,Q09666,15447.0
AHNAK2,2,0,Q8IVF2,11401.0
AIFM2,4,0,Q9BRQ8,10608.0
AKAP12,14,0,Q02952,2225.0
AKAP9,8,1,Q99996,9710.0
AKR1C1,6,0,Q04828,10579.0
AKR1C3,10,0,P42330,4621.0
ALCAM,12,0,Q13740,3452.0
ALDH1A1,16,0,P00352,7328.0
ALDH1L1,6,0,O75891,9632.0
ALDH2,18,0,P05091,17907.0
ALDH3A2,22,0,P51648,6082.0
ALDH3B2,12,0,P48448,10948.0
ALK,32,1,Q9UM73,572.0
AMOTL2,4,0,Q9Y2J4,6265.0
ANG,4,0,P03950,1821.0
ANGPT1,28,0,Q15389,12346.0
ANGPTL4,14,0,Q9BY76,10312.0
ANK2,20,0,Q01484,16109.0
ANK3,22,0,Q12955,5448.0
ANLN,86,0,Q9NQW6,4929.0
ANO3,2,0,Q9BYT9,1921.0
ANTXR2,2,0,P58335,15942.0
ANXA1,20,0,P04083,12349.0
AOC3,8,0,Q16853,16741.0
AP1M2,2,0,Q9Y6Q5,16966.0
AP1S2,2,0,P56377,15371.0
APCDD1,2,0,Q8J025,11036.0
APOB,40,0,P04114,1009.0
APOBEC3A,4,1,P31941,1527.0
APOBEC3B,4,0,Q9UH17,1868.0
APOC1,12,0,P02654,8324.0
AQP1,4,0,P29972,8351.0
AQP3,2,0,Q92482,11009.0
ARHGEF6,8,0,Q15052,7988.0
ASPA,2,0,P45381,5670.0
ASPH,4,0,Q12797,3041.0
ASPM,120,0,Q8IZT6,12055.0
ATAD2,20,0,Q6PL18,17633.0
ATE1,2,1,O95260,11997.0
ATG10,2,1,Q9H0Y0,13549.0
ATM,76,1,Q13315,8226.0
ATP1A2,4,0,P50993,11442.0
ATP1B1,6,0,P05026,5104.0
ATP8B4,2,0,Q8TF62,16880.0
ATR,48,1,Q9H6X2,17842.0
ATXN7,10,1,O15265,2988.0
AURKA,136,0,O14965,2364.0
AVPR1A,4,0,P37288,9013.0
AZGP1,4,0,P25311,5980.0
AZIN1,2,0,O14977,2558.0
BABAM1,6,1,Q9NWV8,16359.0
BAMBI,6,0,Q13145,620.0
BARD1,62,1,Q99728,15964.0
BCL11B,6,0,Q9C0K0,602.0
BCL2A1,8,0,Q16548,3901.0
BCL6,28,0,P41182,2451.0
BCLAF1,8,0,Q9NYF8,14171.0
BCOR,20,1,Q6W2J9,2855.0
BGN,26,0,P21810,5026.0
BHMT2,2,0,Q9H2M3,13120.0
BICDL1,2,0,Q6ZP65,12710.0
BIK,4,0,Q13323,16493.0
BIN1,14,0,O00499,4774.0
BLM,42,0,P54132,17890.0
BMP2,28,0,P12643,15542.0
BMP6,6,0,P22004,11621.0
BOK,2,0,Q9UMX3,6042.0
BRCA1,162,1,P38398,11180.0
BRCA2,88,1,P51587,7896.0
BRIP1,30,1,Q9P0J6,13227.0
BUB1,146,0,O43683,13919.0
BUB1B,154,0,O60566,17732.0
BUB3,52,0,O43684,7659.0
C19ORF12,2,0,Q9NSK7,9835.0
C6,2,0,P13671,1915.0
CA3,2,0,P07451,17834.0
CA4,6,0,P22748,9981.0
CALB2,6,0,P22676,14314.0
CASQ2,4,0,O14958,5451.0
CAT,8,0,Q6IB77,12827.0
CAV1,52,0,Q03135,10750.0
CAV2,6,0,P51636,9241.0
CAVIN1,14,0,Q6NZI2,18133.0
CAVIN2,4,0,O95810,8332.0
CBX2,22,0,Q14781,9205.0
CBX7,26,0,O95931,15412.0
CBX8,26,1,Q9HC52,444.0
CCBE1,2,0,Q6UXH8,6290.0
CCDC170,2,1,Q8IYT3,7757.0
CCDC69,2,0,A6NI79,5219.0
CCN4,4,0,O95388,17607.0
CCNA2,178,0,P20248,12008.0
CCNB1,178,0,P14635,10215.0
CCNB2,140,0,O95067,8621.0
CCNE2,32,0,O96020,8148.0
CCR5,30,0,P51681,9886.0
CCR7,28,0,P32248,2340.0
CCT2,12,0,P78371,9135.0
CD209,14,0,Q9NNX6,4827.0
CD24,10,0,P25063,2208.0
CD248,2,0,Q9HCU0,17295.0
CD300LF,2,0,Q8TDQ1,11387.0
CD300LG,2,0,Q6UXG3,10665.0
CD34,38,0,P28906,1607.0
CD36,44,0,P16671,4013.0
CD37,4,0,P11049,14816.0
CD9,26,0,P21926,4158.0
CD99L2,8,0,Q8TCZ2,8003.0
CDC14B,2,0,O60729,9947.0
CDC20,152,0,Q12834,4227.0
CDC42EP2,2,0,O14613,5825.0
CDC45,132,0,O75419,4416.0
CDC7,30,0,O00311,7654.0
CDCA3,94,0,Q99618,5191.0
CDCA5,100,0,Q96FF9,5310.0
CDCA8,124,0,Q53HL2,2505.0
CDCP1,2,0,Q9H5V8,12009.0
