source,target,weight
ABCA12,TGM1,0.952
ABCA4,RS1,0.771
ABCC3,SLCO1A2,0.721
ACKR1,ACKR4,0.747
ACKR1,CXCL5,0.897
ACKR1,PPBP,0.836
ACKR1,CXCL8,0.999
ACKR1,ACKR4,0.747
ACKR4,CXCL12,0.865
ACKR4,CXCL13,0.992
ACTN2,CASQ2,0.703
ACTN2,SYNPO2,0.736
ACTN2,NEBL,0.808
ACVRL1,TGFBR2,0.992
ACVRL1,BMP2,0.916
ACVRL1,SMAD9,0.91
ACVRL1,CDH5,0.717
ADAM12,TGFBR2,0.853
ADAMTS1,AREG,0.722
ADCY8,PDE5A,0.863
ADCY8,RAPGEF4,0.971
ADGRL2,UNC5CL,0.97
ADGRL2,FLRT3,0.872
ADGRL3,UNC5CL,0.969
ADGRL3,FLRT3,0.999
ADH1B,UGT2B4,0.71
ADH1B,MGST1,0.701
ADH1B,GSTM3,0.721
ADH1B,GSTP1,0.767
ADH1B,ALDH3A1,0.857
ADH1B,AOX1,0.952
ADRB1,ADRB2,0.956
ADRB1,GRK5,0.752
ADRB2,ERBB2,0.822
ADRB2,GRIA1,0.706
ADRB2,RAPGEF4,0.753
ADRB2,EDN1,0.812
ADRB2,AGTR1,0.873
ADRB2,GRK5,0.91
ADRB1,ADRB2,0.956
ADRB2,AKAP12,0.983
AGER,KRAS,0.944
AGER,S100P,0.962
AGER,SFTPC,0.87
AGER,S100A12,0.999
AGER,SFTPD,0.776
AGER,CD36,0.734
AGR2,SPDEF,0.784
AGR2,MUC5B,0.726
ADRB2,AGTR1,0.873
AGTR1,CXCL8,0.782
AGTR1,AGTR2,0.982
AGTR1,EDN1,0.898
AGTR1,GRK5,0.739
AGTR2,EDN1,0.807
AGTR1,AGTR2,0.982
AKAP12,HSPA12B,0.774
AKAP12,EGFR,0.81
ADRB2,AKAP12,0.983
AKAP12,CAVIN1,0.793
AKAP12,ANGPT1,0.733
AKR1B10,ALDH3A1,0.717
ADH1B,ALDH3A1,0.857
ALDH3A1,AOC3,0.928
ALDH3A1,GAD1,0.926
AKR1B10,ALDH3A1,0.717
ALDH3A1,GSTM3,0.726
ALDH3A1,MGST1,0.719
ALDH3A1,GSTP1,0.758
ALK,KRAS,0.989
ALK,ERBB2,0.775
ALK,TGFBR2,0.947
ALK,PTEN,0.722
ALK,CD274,0.818
ALK,MYC,0.896
ALK,ALKAL2,0.968
ALK,MDK,0.997
ALK,ALKAL2,0.968
ANGPT1,VWF,0.755
ANGPT1,FGF2,0.822
ANGPT1,EGF,0.729
ANGPT1,ERBB2,0.736
ANGPT1,EGFR,0.85
ANGPT1,FGFR4,0.716
ANGPT1,MET,0.77
ANGPT1,PTPRB,0.705
ANGPT1,TIE1,0.998
ANGPT1,TEK,0.999
ANGPT1,CXCL12,0.704
AKAP12,ANGPT1,0.733
ANGPT1,CDH5,0.797
ANGPTL1,TIE1,0.732
ANGPTL1,LILRB2,0.807
ANGPTL1,TEK,0.866
ANK2,ERBB2,0.824
ANK2,SCN4B,0.862
ANK2,TRPM8,0.8
ANK2,SPTBN1,0.997
ANLN,DLGAP5,0.914
ANLN,CCNB1,0.86
ANLN,DEPDC1B,0.74
ANLN,CDC20,0.701
ANLN,TTK,0.704
ANLN,NUSAP1,0.712
ANLN,TYMS,0.729
ANLN,CCNA2,0.747
ANLN,EXO1,0.754
ANLN,UBE2C,0.773
ANLN,KIF4A,0.782
ANLN,RRM2,0.785
ANLN,NEK2,0.787
ANLN,CDCA8,0.789
ANLN,BUB1B,0.8
ANLN,MELK,0.831
ANLN,CENPF,0.842
ANLN,DEPDC1,0.847
ANLN,TOP2A,0.861
ANLN,HMMR,0.88
ANLN,ASPM,0.9
ANLN,TPX2,0.923
ANLN,CEP55,0.93
ANLN,KIF20A,0.949
ANOS1,ARSL,0.7
ANOS1,FGF2,0.781
ANOS1,PROK2,0.945
ANXA1,CDH1,0.776
ANXA1,EGFR,0.802
ANXA1,CXCL8,0.828
ANXA1,SOX2,0.701
ANXA1,ANXA2,0.989
ANXA1,PLA2G4A,0.813
ANXA1,S100A10,0.977
ANXA1,FPR2,0.999
