SYMBOL,degree,is_biomarker,Source,UniProt,emb_idx
EGFR,112,1,http://lcbd.biomarkerdb.com/home,P00533,2131.0
IL6,96,1,https://pubmed.ncbi.nlm.nih.gov/38384009/,P05231,5171.0
CCNB1,84,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC9641803/,P14635,10215.0
CCNA2,72,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11725219/,P20248,12008.0
TOP2A,70,1,http://lcbd.biomarkerdb.com/home,P11388,2465.0
CCNB2,70,1,https://www.frontiersin.org/journals/integrative-neuroscience/articles/10.3389/fnint.2022.854540/full,O95067,8621.0
CDC45,70,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11000299/,O75419,4416.0
BUB1B,68,1,https://pubmed.ncbi.nlm.nih.gov/40076684/,O60566,17732.0
CDC20,68,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11303833/,Q12834,4227.0
CXCL8,68,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11236764/,P10145,15358.0
DLGAP5,68,1,https://link.springer.com/article/10.1007/s12672-025-04145-z,Q15398,5722.0
KIF20A,68,1,https://link.springer.com/article/10.1186/s12885-025-15221-6,O95235,7475.0
MELK,68,0,,Q14680,6113.0
CDCA8,66,0,,Q53HL2,2505.0
CEP55,66,0,,Q53EZ4,15993.0
MMP9,66,0,,P14780,9103.0
RRM2,66,0,,P31350,16218.0
ZWINT,66,1,https://pubmed.ncbi.nlm.nih.gov/34852139/,O95229,10249.0
ASPM,64,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11988246/,Q8IZT6,12055.0
CENPF,64,0,,P49454,17298.0
EGF,64,0,,P01133,1129.0
HMMR,64,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC8710063/,O75330,18160.0
UBE2C,64,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10869987/,O00762,5109.0
HJURP,62,1,http://lcbd.biomarkerdb.com/home,Q8NCD3,11692.0
NUSAP1,62,0,,Q9BXS6,12272.0
TPX2,62,0,,Q9ULW0,7647.0
TTK,62,0,,P33981,5134.0
FGF2,60,0,,P09038,12517.0
KIF4A,58,0,,O95239,7061.0
NEK2,58,0,,P51955,16535.0
CDCA5,56,1,http://lcbd.biomarkerdb.com/home,Q96FF9,5310.0
MYC,56,1,http://lcbd.biomarkerdb.com/home,P01106,8301.0
ERBB2,54,0,,P04626,7108.0
PCLAF,54,0,,Q15004,10426.0
CDH1,52,1,http://lcbd.biomarkerdb.com/home,Q9UM11,11580.0
CXCL12,52,1,http://lcbd.biomarkerdb.com/home,P48061,17263.0
KRAS,52,1,http://lcbd.biomarkerdb.com/home,P01116,1004.0
TK1,52,1,http://lcbd.biomarkerdb.com/home,P04183,15089.0
EXO1,52,0,,Q9UQ84,16102.0
ANLN,50,0,,Q9NQW6,4929.0
DEPDC1,48,0,,Q5TB30,17342.0
TYMS,46,0,,P04818,11818.0
CDC25C,44,0,,P30307,7958.0
VWF,44,0,,P04275,13825.0
PTEN,42,1,http://lcbd.biomarkerdb.com/home,P60484,9473.0
CDKN2A,38,1,http://lcbd.biomarkerdb.com/home,P42771,8793.0
SOX2,38,1,http://lcbd.biomarkerdb.com/home,P48431,321.0
CD274,38,0,,Q9NZQ7,10350.0
COL1A1,38,0,,P02452,2111.0
PECAM1,38,0,,P16284,13018.0
SPP1,36,0,,Q9BX95,11751.0
MET,34,1,http://lcbd.biomarkerdb.com/home,Q9NWH9,3031.0
BDNF,34,0,,P23560,8569.0
FCGR3A,32,1,http://lcbd.biomarkerdb.com/home,P08637,8265.0
CDH5,32,0,,P33151,13972.0
FCGR3B,32,0,,O75015,4463.0
PTGS2,32,0,,P35354,15439.0
UBE2T,32,0,,Q9NPD8,8853.0
CAV1,30,0,,Q03135,10750.0
CD36,30,0,,P16671,4013.0
CXCR2,30,0,,P25025,16729.0
E2F8,30,0,,A0AVK6,17005.0
CD19,28,0,,P15391,11386.0
CXCL5,28,0,,P42830,9302.0
TEK,28,0,,Q02763,1132.0
E2F1,26,1,http://lcbd.biomarkerdb.com/home,Q01094,2243.0
ANGPT1,26,0,,Q15389,12346.0
COL1A2,26,0,,P08123,3770.0
COL3A1,26,0,,P02461,9592.0
GSTP1,24,1,http://lcbd.biomarkerdb.com/home,P09211,17104.0
ATF3,24,0,,P18847,4576.0
CSF3,24,0,,P09919,7619.0
CXCL13,24,0,,O43927,1472.0
CXCL2,24,0,,P19875,10109.0
HBEGF,24,0,,Q99075,1375.0
MMP3,24,0,,P08254,7349.0
THBS2,24,0,,P35442,11333.0
MLH1,22,1,http://lcbd.biomarkerdb.com/home,P40692,1481.0
BMP2,22,0,,P12643,15542.0
CD69,22,0,,Q07108,15761.0
CLDN5,22,0,,O00501,10132.0
DEPDC1B,22,0,,Q8WUY9,12235.0
EDN1,22,0,,P05305,5661.0
GZMB,22,0,,P10144,16601.0
ITGA1,22,0,,P56199,3834.0
MMP1,22,0,,P03956,843.0
PRF1,22,0,,P14222,23.0
SELE,22,0,,P16581,13795.0
UHRF1,22,0,,Q96T88,13224.0
CBFB,20,0,,Q13951,5421.0
CLU,20,0,,P10909,15841.0
CXCL3,20,0,,P19876,219.0
FGFR4,20,0,,P22455,10988.0
IL7R,20,0,,P16871,11162.0
ITGA8,20,0,,P53708,10929.0
MMP7,20,0,,P09237,11269.0
GDNF,18,1,http://lcbd.biomarkerdb.com/home,P39905,17423.0
MGMT,18,1,http://lcbd.biomarkerdb.com/home,P16455,4263.0
RASSF1,18,1,http://lcbd.biomarkerdb.com/home,Q9NS23,1850.0
