,biomarker_gene
"1","DIRC3"
"2","FTO"
"3","ZNF365"
"4","PEX14"
"5","ELL"
"6","FGFR2"
"7","ITPR1"
"8","TCF7L2"
"9","BRCA1"
"10","PAH"
"11","PTEN"
"12","BRCA2"
"13","TP53"
"14","HRAS"
"15","CDH1"
"16","BRIP1"
"17","PALB2"
"18","ATM"
"19","NF1"
"20","RAD51C"
"21","GNRHR"
"22","ALK"
"23","BARD1"
"24","ERBB2"
"25","ESR1"
"26","HERC2"
"27","PIK3CA"
"28","SMAD4"
"29","PBX1"
"30","TERT"
"31","TNNT3"
"32","TAB2"
"33","HCN1"
"34","GALC"
"35","RORA"
"36","PAX9"
"37","LINC01488"
"38","CCDC91"
"39","LINC02929"
"40","CASC16"
"41","DIRC3-AS1"
"42","ZMIZ1"
"43","MAP3K1"
"44","CDKN2B-AS1"
"45","GDI2"
"46","CASC8"
"47","SLC4A7"
"48","CCDC170"
"49","USHBP1"
"50","LINC02224"
"51","RPL36P14"
"52","ATE1"
"53","ROPN1L"
"54","ZNF577"
"55","LINC-PINT"
"56","RPS27P20"
"57","EMBP1"
"58","RAD51B"
"59","LDHBP3"
"60","NTN1"
"61","SYT6"
"62","MDM4"
"63","LGR6"
"64","LINC01376"
"65","MRTFA"
"66","TENT5A"
"67","EBF1"
"68","PGAM1P5"
"69","GNAI2P1"
"70","ANKLE1"
"71","NCOA1"
"72","MARK2P12"
"73","POGLUT3"
"74","TBX3-AS1"
"75","CDYL2"
"76","ADIPOR1P1"
"77","HNF4G"
"78","CASC9"
"79","ADAM29"
"80","DNAJC1"
"81","LSP1"
"82","CYCSP42"
"83","AQP4-AS1"
"84","LINC00589"
"85","STXBP4"
"86","LINC01101"
"87","ATG10"
"88","CCDC88C"
"89","OVOL1"
"90","MARCHF11-DT"
"91","ARHGEF5"
"92","MCUR1"
"93","TET2"
"94","LINC02801"
"95","LINC01426"
"96","APOBEC3A"
"97","INHBB"
"98","PPIL3"
"99","WDR43"
"100","LINC02068"
"101","CDKN2A"
"102","CDKN2B"
"103","RAB3C"
"104","ATXN7"
"105","PPIAP88"
"106","PTHLH"
"107","LINC01153"
"108","FOXQ1"
"109","BCL2L15"
"110","DCLRE1B"
"111","RIN3"
"112","MYC"
"113","PVT1"
"114","OTUD7B"
"115","TGFBR2"
"116","TBX3"
"117","TNIP3"
"118","MARCHF11"
"119","EMID1"
"120","LINC00536"
"121","POU5F1B"
"122","KCNU1"
"123","ERBB4"
"124","PDE4D"
"125","CHST9"
"126","AQP4"
"127","CDCA7"
"128","RPS2P18"
"129","NTN4"
"130","RPSAP72"
"131","CHEK2"
"132","SUB1"
"133","METAP1D"
"134","DLX2"
"135","RANBP9"
"136","ANKRD16"
"137","LINC02920"
"138","NRIP1"
"139","TOX3"
"140","KCNN4"
"141","LRRN2"
"142","SSBP4"
"143","MKL1"
"144","FGF3"
"145","COX11"
"146","SETBP1"
"147","SIAH2"
"148","PRSS44P"
"149","AKAP9"
"150","MLLT10"
"151","TMEM45B"
"152","EXO1"
"153","CBX8"
"154","MRPS30"
"155","BABAM1"
"156","CHCHD4P2"
"157","KLF4"
"158","C5orf67"
"159","LINC01556"
"160","RPL17P33"
"161","MIR192"
"162","MIR20B"
"163","MIR885"
"164","KRAS"
"165","EP300"
"166","KDM6A"
"167","RB1"
"168","FCRL4"
"169","EGFR"
"170","LZTR1"
"171","MYH9"
"172","REL"
"173","TET1"
"174","BCOR"
"175","CDK12"
"176","FBXO11"
"177","ATR"
"178","ZFHX3"
"179","SMAD2"
