ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
210964_s_at	3.46e-15	1.55e-19	11.6336092	33.847079	2.21812709	GYG2	glycogenin 2
205478_at	3.66e-15	4.10e-19	11.424866	32.908394	3.10485975	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
219140_s_at	3.66e-15	4.93e-19	11.384966	32.728506	3.97288671	RBP4	retinol binding protein 4
219398_at	4.27e-15	7.66e-19	11.2905036	32.30205	1.34336565	CIDEC	cell death inducing DFFA like effector c
205220_at	5.63e-15	1.26e-18	11.1833723	31.817447	1.54300169	HCAR3	hydroxycarboxylic acid receptor 3
222317_at	1.96e-14	5.28e-18	10.8782218	30.431859	3.65411065	PDE3B	phosphodiesterase 3B
266_s_at	4.13e-14	1.30e-17	-10.687246	29.561039	-4.0118635	CD24	CD24 molecule
219295_s_at	6.64e-14	2.38e-17	10.5579399	28.969964	2.47435533	PCOLCE2	procollagen C-endopeptidase enhancer 2
212741_at	9.23e-14	3.73e-17	10.4631558	28.535998	2.60093097	MAOA	monoamine oxidase A
201650_at	1.01e-13	4.53e-17	-10.4221481	28.348072	-4.80915537	KRT19	keratin 19
202988_s_at	1.10e-13	5.52e-17	-10.3801155	28.155344	-2.41007776	RGS1	regulator of G-protein signaling 1
203549_s_at	1.10e-13	5.93e-17	10.3648911	28.085511	1.29241302	LPL	lipoprotein lipase
201839_s_at	2.97e-13	1.73e-16	-10.1381839	27.04412	-2.44823033	EPCAM	epithelial cell adhesion molecule
219064_at	3.80e-13	2.39e-16	10.0709215	26.734644	1.50313619	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
200606_at	5.15e-13	3.47e-16	-9.9920402	26.371445	-1.05035582	DSP	desmoplakin
221009_s_at	6.56e-13	4.71e-16	9.9274567	26.073882	2.03479156	ANGPTL4	angiopoietin like 4
213524_s_at	6.89e-13	5.26e-16	9.9043369	25.967319	1.44151424	G0S2	G0/G1 switch 2
218168_s_at	1.00e-12	8.12e-16	9.8129206	25.545768	1.92348303	COQ8A	coenzyme Q8A
207175_at	1.08e-12	9.17e-16	9.7872189	25.427196	1.91814033	ADIPOQ	adiponectin, C1Q and collagen domain containing
208510_s_at	1.27e-12	1.14e-15	9.7417932	25.217576	1.8876574	PPARG	peroxisome proliferator activated receptor gamma
215695_s_at	1.29e-12	1.22e-15	9.7278339	25.153148	2.32817111	GYG2	glycogenin 2
43427_at	1.33e-12	1.35e-15	9.7064004	25.05421	2.91428202	ACACB	acetyl-CoA carboxylase beta
202286_s_at	1.33e-12	1.37e-15	-9.7027595	25.037402	-2.71354016	TACSTD2	tumor-associated calcium signal transducer 2
204388_s_at	1.36e-12	1.49e-15	9.6856854	24.958577	1.93507628	MAOA	monoamine oxidase A
221748_s_at	1.36e-12	1.59e-15	9.6720517	24.895628	1.15321326	TNS1	tensin 1
206243_at	1.36e-12	1.63e-15	9.6664603	24.86981	2.30764337	TIMP4	TIMP metallopeptidase inhibitor 4
201348_at	1.36e-12	1.65e-15	9.6638695	24.857848	1.37303063	GPX3	glutathione peroxidase 3
205498_at	1.39e-12	1.75e-15	9.6517276	24.80178	0.97812975	GHR	growth hormone receptor
214414_x_at	1.58e-12	2.06e-15	9.6169573	24.641201	1.96977943	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
210298_x_at	1.69e-12	2.28e-15	9.5957721	24.543346	1.86509845	FHL1	four and a half LIM domains 1
209771_x_at	1.77e-12	2.46e-15	-9.5797379	24.469277	-1.88539409	CD24	CD24 molecule
221928_at	1.83e-12	2.63e-15	9.5653262	24.402698	1.81808427	ACACB	acetyl-CoA carboxylase beta
218124_at	2.25e-12	3.43e-15	9.50959	24.145167	1.02925343	RETSAT	retinol saturase
219689_at	2.25e-12	3.50e-15	9.5054239	24.125915	0.61038012	SEMA3G	semaphorin 3G
203414_at	2.25e-12	3.53e-15	9.5036429	24.117684	0.93845546	MMD	monocyte to macrophage differentiation associated
218237_s_at	2.29e-12	3.70e-15	-9.4938178	24.072279	-1.88012171	SLC38A1	solute carrier family 38 member 1
216331_at	2.52e-12	4.19e-15	9.4676841	23.951499	1.61170966	ITGA7	integrin subunit alpha 7
201286_at	2.57e-12	4.38e-15	-9.4584396	23.908771	-2.11579654	SDC1	syndecan 1
201596_x_at	2.68e-12	4.69e-15	-9.4438116	23.841159	-2.72590353	KRT18	keratin 18
205382_s_at	2.74e-12	4.99e-15	9.4311227	23.782506	3.34728234	CFD	complement factor D
204997_at	2.74e-12	5.04e-15	9.429057	23.772958	2.21771513	GPD1	glycerol-3-phosphate dehydrogenase 1
218087_s_at	2.74e-12	5.16e-15	9.4240514	23.749819	3.02359754	SORBS1	sorbin and SH3 domain containing 1
