"source","target","weight"
"ABAT","ACADS",0.816
"ABAT","ACSS2",0.829
"ABAT","ALDH2",0.945
"ABAT","SORD",0.707
"ABAT","ALDH3A2",0.947
"ABAT","ACSS3",0.828
"ABAT","ALDH3B2",0.942
"ABCA6","FOXO1",0.789
"ABCA6","ABCA9",0.79
"ABCA6","ABCA9",0.79
"ACAA2","ACADL",0.979
"ACAA2","ACADS",0.982
"ACAA2","ACSS2",0.933
"ACAA2","ETFB",0.738
"ACAA2","ACSL1",0.788
"ACAA2","HSDL2",0.918
"ACAA2","ACSS3",0.927
"ACACB","ACSS2",0.96
"ACACB","PC",0.712
"ACACB","ACSL1",0.737
"ACACB","SCD",0.754
"ACADL","HSDL2",0.781
"ACADL","ETFB",0.822
"ACADL","ACSL1",0.868
"ACADL","ACADS",0.935
"ACAA2","ACADL",0.979
"ACADL","ACADS",0.935
"ACADS","HSDL2",0.794
"ABAT","ACADS",0.816
"ACADS","ALDH3A2",0.883
"ACADS","ALDH2",0.906
"ACADS","ETFB",0.924
"ACADS","ACSM5",0.94
"ACADS","ACSS3",0.941
"ACADS","ACSS2",0.95
"ACAA2","ACADS",0.982
"ACKR1","ACKR4",0.747
"ACKR1","NECTIN2",0.986
"ACKR1","GYPC",0.877
"ACKR1","PPBP",0.836
"ACKR1","CXCL8",0.999
"ACKR3","MIF",0.718
"ACKR3","CCR5",0.709
"ACKR3","AVPR1A",0.767
"ACKR3","EGFR",0.768
"ACKR3","CXCL10",0.863
"ACKR3","ADM",0.873
"ACKR3","CXCR4",0.996
"ACKR3","CXCL11",0.998
"ACKR3","CXCL12",0.999
"ACKR4","CCR7",0.965
"ACKR1","ACKR4",0.747
"ACKR4","CXCL12",0.865
"ACO1","CYBRD1",0.714
"ACO1","PC",0.73
"ACO1","SLC11A2",0.927
"ACO1","IDH2",0.998
"ACSL1","DGAT2",0.748
"ACADL","ACSL1",0.868
"ACSL1","MGLL",0.883
"ACAA2","ACSL1",0.788
"ACSL1","PPARG",0.745
"ACSL1","PNPLA2",0.83
"ACACB","ACSL1",0.737
"ACSL1","CD36",0.857
"ACSL1","LPL",0.928
"ACADS","ACSM5",0.94
"ACSM5","HSDL2",0.706
"ACADS","ACSS2",0.95
"ACSS2","HSDL2",0.706
"ACSS2","IDH2",0.748
"ABAT","ACSS2",0.829
"ACSS2","PCK1",0.883
"ACSS2","ACSS3",0.921
"ACSS2","PC",0.923
"ACAA2","ACSS2",0.933
"ACSS2","ALDH3A2",0.947
"ACSS2","ALDH3B2",0.947
"ACSS2","ALDH2",0.954
"ACACB","ACSS2",0.96
"ACADS","ACSS3",0.941
"ACSS2","ACSS3",0.921
"ACSS3","ALDH2",0.886
"ACAA2","ACSS3",0.927
"ACSS3","ALDH3A2",0.902
"ABAT","ACSS3",0.828
"ACSS3","HSDL2",0.733
"ACVR1C","INHBA",0.982
"ACVR1C","SMAD4",0.817
"ACVR1C","SMAD2",0.982
"ACVR1C","INHBB",0.991
"ADAM12","TGFBR2",0.853
"ADAM12","ITGA7",0.713
"ADAM12","PIK3R1",0.79
"ADAM12","SDC1",0.79
"ADAMTS3","FN1",0.723
"ADAMTS3","COL10A1",0.741
"ADAMTS3","CCBE1",0.825
"ADAMTS3","MMP3",0.879
"ADAMTS5","RUNX2",0.741
"ADAMTS5","MMP3",0.89
"ADAMTSL4","FBN1",0.94
"ADCY4","GNG11",0.755
"ADCY4","PDE8B",0.705
"ADCY4","PDE3B",0.744
"ADCY4","PDE11A",0.719
"ADCY4","PDE7B",0.756
"ADCY4","GNG2",0.723
"ADCY4","GNAI1",0.749
"ADCY4","PDE4D",0.792
"ADCY4","PDE2A",0.798
"ADCY4","GCH1",0.8
"ADCY4","MOCS1",0.812
"ADCY4","CNR1",0.907
"ADCY4","RAPGEF3",0.939
"ADCY4","GNAL",0.958
"ADCYAP1R1","NTRK2",0.774
"ADCYAP1R1","GNG2",0.909
"ADGRA2","LRP5",0.908
"ADGRA2","RECK",0.735
"ADGRA2","FZD4",0.802
"ADGRD1","NPR3",0.711
"ADGRD1","GNG2",0.822
"ADGRL4","EMCN",0.782
"ADH1B","GSTM5",0.75
"ADH1B","ALDH2",0.995
"ADH1B","RETSAT",0.91
"ADH1B","ALDH1A1",0.949
"ADH1B","ADHFE1",0.725
"ADH1B","ALDH3B2",0.836
"ADH1B","ALDH3A2",0.861
"ADH1B","MAOA",0.946
"ADH1B","ADH1C",0.986
"ADH1C","GSTM5",0.738
"ADH1C","ALDH2",0.989
"ADH1C","RETSAT",0.914
"ADH1C","ALDH1A1",0.921
"ADH1B","ADH1C",0.986
"ADH1C","MAOA",0.936
"ADH1C","ALDH3A2",0.862
"ADH1C","ADHFE1",0.758
"ADH1C","ALDH3B2",0.847
"ADHFE1","MGLL",0.799
"ADHFE1","SORD",0.874
"ADH1B","ADHFE1",0.725
"ADH1C","ADHFE1",0.758
"ADHFE1","HSDL2",0.889
"ADHFE1","MRTFA",0.955
"ADIPOQ","SERPINE1",0.789
"ADIPOQ","APOB",0.781
"ADIPOQ","LIPE",0.86
"ADIPOQ","FABP4",0.942
"ADIPOQ","PPARG",0.965
"ADIPOQ","PLIN1",0.947
"ADIPOQ","IRS1",0.734
"ADIPOQ","LEP",0.994
"ADIPOQ","CIDEA",0.763
"ADIPOQ","MLXIPL",0.709
"ADIPOQ","PNPLA2",0.705
"ADIPOQ","RBP4",0.799
"ADIPOQ","CIDEC",0.743
"ADIPOQ","IGF1",0.779
"ADIPOQ","RARRES2",0.773
"ADIPOQ","LPL",0.794
"ADIPOQ","CD36",0.806
"ADIPOQ","CEBPA",0.942
"ADIPOQ","CFD",0.988
"ADIRF","PPARG",0.789
"ACKR3","ADM",0.873
"ADM","GNG2",0.8
"ADRA1A","CXCR4",0.795
"ADRA2A","GNG2",0.932
"ADRB1","ADRB2",0.956
"ADRB1","GNAL",0.843
"ADRB1","GNAI1",0.923
"ADRB2","NR3C1",0.727
"ADRB2","APOB",0.744
"ADRB2","SLC9A3R1",0.997
"ADRB2","ERBB2",0.822
"ADRB2","EZR",0.714
"ADRB2","PDE4D",0.745
"ADRB2","RAPGEF3",0.756
