"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"387357_at",-2.91066862197292,4.28404384289295,-24.5737522314505,2.95087510527336e-72,5.17199879701262e-68,153.530188946751
"59350_at",-3.56541836017693,4.44555980433994,-23.2477961293157,1.1134195468258e-67,9.75745219860793e-64,143.150688194902
"27012_at",-3.69331663372257,4.21290805681715,-23.0592627859184,5.06167008323384e-67,2.95719638496132e-63,141.658361643229
"9840_at",-4.00114605035311,4.83590263401643,-21.7114253834819,2.83499736635471e-62,1.24222497100247e-58,130.877455777901
"57495_at",-3.6162372203553,4.4320781176019,-20.8177379758815,4.39361323345976e-59,1.54013718285698e-55,123.62850509252
"63974_at",-3.46533333686926,5.59875571342503,-20.6208124873443,2.23808349530858e-58,6.53781490371226e-55,122.02138967805
"1006_at",-2.00866986174013,4.62936752713546,-18.6316998729135,3.63316948944526e-51,9.09693737735816e-48,105.622546022569
"168391_at",-2.14619126897624,4.35012349993682,-18.5001402959534,1.09845573648255e-50,2.4065792116662e-47,104.529178372488
"401097_at",-4.61129326154096,4.62904332294215,-17.8368127417649,2.93873379040832e-48,5.15071871444867e-45,99.0048055982542
"2845_at",-3.51920132427826,4.61381110593116,-17.4731773214617,6.33065694671999e-47,9.2464520254301e-44,95.9698515719495
"7432_at",-2.96393729969945,4.32728181051655,-17.2998247545876,2.73844989643036e-46,3.69206241036423e-43,94.5218738787913
"645974_at",-2.48261020778259,4.87043819251058,-17.192055966512,6.80822114640425e-46,8.07807693331845e-43,93.6214157632915
"9515_at",-2.90039352488029,4.83747705794645,-17.1902420421199,6.91339955495959e-46,8.07807693331845e-43,93.6062579534938
"132332_at",-4.35495725552332,4.95408641720356,-17.1582436552679,9.06034280524838e-46,9.92503927172427e-43,93.3388596636033
"118427_at",-4.53325216732789,4.47027395588998,-16.9932525917945,3.654572220182e-45,3.76786395900764e-42,91.9598774593201
"23349_at",-3.84417677827479,4.99495000068233,-16.9438695851226,5.54810105187934e-45,5.2027451553055e-42,91.5470806373561
"10368_at",-4.51995407019644,5.14520103251288,-16.9419264728644,5.63999303650394e-45,5.2027451553055e-42,91.5308375556409
"51555_at",-3.65587881294683,4.76376315072553,-16.8785221938084,9.63994529942288e-45,8.44796606314924e-42,91.0008055112059
"10716_at",-3.95309590950064,4.39585236873969,-16.8428899363088,1.30288450738404e-44,1.08741222671048e-41,90.7029236391463
"6775_at",-3.95753263496537,5.5698058749135,-16.6840888087241,4.98874518715851e-44,3.97444258615123e-41,89.3752996516792
"55079_at",-2.87323982794374,4.57099820520785,-16.2084360805802,2.78087644898304e-42,2.0308508967219e-39,85.3991217155311
"400745_at",-2.76202688251794,5.61095727239321,-16.1411072120498,4.91202228237625e-42,3.44372058172834e-39,84.8364786710833
"125113_at",-4.50076026306029,4.6587065107275,-15.8216047173524,7.29748771198051e-41,4.91934873568778e-38,82.1677344429726
"27165_at",-2.7611917741255,4.85939614270242,-15.8066875316674,8.27676247373472e-41,5.37284503248698e-38,82.0431948876571
"399947_at",-3.78231761056701,4.43651139603786,-15.7166097912862,1.77021710622403e-40,1.10809268645673e-37,81.2912991880098
"284615_at",-2.57622951785161,5.82361462798223,-15.6541907684302,2.99740936542301e-40,1.81157220509549e-37,80.7704254470598
"57172_at",-2.92685219541847,5.28126974496127,-15.6347325703721,3.53210748230795e-40,2.06357492808038e-37,80.6080775138565
"3787_at",-3.26073129157283,5.82780850922191,-15.5879605635044,5.24041033791497e-40,2.96286038685921e-37,80.2178932789985
"9951_at",-3.62252233253732,5.28650375087196,-15.4050926885372,2.44834664126446e-39,1.34100536192007e-36,78.6931626388639
"151835_at",-2.09442923990837,5.44782597301643,-15.383475349032,2.93749131856767e-39,1.5601639497132e-36,78.5130110488716
"400120_at",-3.89370489450546,4.27783108540138,-15.3678698414887,3.3502380194456e-39,1.72704769902421e-36,78.3829728260395
"23109_at",-3.13555844944803,6.40427266277102,-15.16334458724,1.87474770284451e-38,9.38820085364448e-36,76.679757867836
"1010_at",-3.2141543938562,4.4522312939967,-15.0296118267646,5.77340655094341e-38,2.73487828698338e-35,75.5672491461097
"148808_at",-3.31342914556759,4.93679847487225,-14.8442734782249,2.73941397852005e-37,1.23112073850053e-34,74.027176235735
"26038_at",-2.45295933529895,5.28708083290489,-14.8032406921092,3.86580596924394e-37,1.69389953057346e-34,73.6865091066584
"63982_at",-4.59017999837105,4.9663641400835,-14.7594316256195,5.58326542049903e-37,2.38677787866064e-34,73.3229176887789
"8997_at",-2.29994823675892,5.19615559684828,-14.7148907541506,8.11229374577768e-37,3.38533744005346e-34,72.9533888816489
"1128_at",-3.38717709735677,4.62753202013083,-14.7091867292655,8.50977560886467e-37,3.46862411852491e-34,72.9060761286113
"6327_at",-2.97085316678912,5.49633755309578,-14.678873190208,1.09724831317143e-36,4.37078890567173e-34,72.6546757933625
"10645_at",-2.11042264250491,6.45080924505905,-14.6126494129715,1.91142246901173e-36,7.44477813652636e-34,72.1056936200497
"492_at",-2.09792435196654,5.20777190295725,-14.2885215170772,2.87727320770911e-35,1.00859935023035e-32,69.423749038206
"9478_at",-3.96611123317732,5.62624342516306,-14.2615249651813,3.60486450516897e-35,1.23685396930819e-32,69.2007750305043
"5950_at",-3.49058951613563,5.61790527156845,-14.2593945144776,3.66956161374027e-35,1.23685396930819e-32,69.1831817025847
"29953_at",-4.01055401091822,4.61653456498793,-14.0903133076231,1.5035953333365e-34,4.88028063099793e-32,67.7882599281259
"5923_at",-2.53427553676759,4.89367173634646,-14.0545276156322,2.02588434417519e-34,6.45594089097429e-32,67.4933826904035
"54033_at",-2.12996151505213,4.28625682740246,-14.032826110847,2.42722597124791e-34,7.59678385679682e-32,67.314623011043
"26034_at",-5.22442706676706,6.6657458994799,-13.8157268095351,1.47636363617957e-33,4.53968867567005e-31,65.5290468069578
"5058_at",-2.68102936647997,7.77642786173867,-13.757864169017,2.38668278310165e-33,7.21230847231424e-31,65.0540148199284
"815_at",-2.46423393019302,5.98143670345678,-13.7162269860194,3.37131009246535e-33,1.00150766085831e-30,64.7124254931799
"440279_at",-3.45034372314835,4.45203859487563,-13.6249897200214,7.18100900114895e-33,2.09769241271896e-30,63.9646331065528
"9495_at",-2.14584587427916,4.98996551846638,-13.613045389878,7.92764556451271e-33,2.27783350506909e-30,63.8668098461197
"5816_at",-4.57345513969141,4.73656681532851,-13.5043983017061,1.94783495490376e-32,5.50640375074164e-30,62.9778074142488
"8448_at",-2.50693378031276,5.62926140171629,-13.4751388150083,2.48074417445819e-32,6.90158780090931e-30,62.7386468192823
"3706_at",-2.46269774838437,5.924766805935,-13.4558088092814,2.91033388132666e-32,7.84760337507884e-30,62.5807081056479
"9856_at",-2.99816716423876,5.27841456498892,-13.4061584456093,4.38534804362118e-32,1.14719395762013e-29,62.175255806679
"3356_at",-4.02409149980772,5.59658209370315,-13.2408863417109,1.71272850942152e-31,4.22802712459592e-29,60.8280080944218
"727729_at",-2.14667602298985,4.4734549603765,-13.1768123450315,2.90158715138081e-31,6.87244837868263e-29,60.3067204092149
"266722_at",-2.25689081929712,5.03959538214082,-13.0606451088194,7.53466568632254e-31,1.73763270373915e-28,59.3631397299406
"887_at",-2.5917075476167,5.22187629520041,-13.0378073705557,9.08732322930503e-31,2.06848719792246e-28,59.1778743934679
"404037_at",-3.50609356725713,6.0495826167061,-13.0097719647828,1.14361746960414e-30,2.56976710125022e-28,58.9505527470211
"6262_at",-2.41552614682204,5.06447968231203,-12.9483002690607,1.892441043402e-30,4.09491532934654e-28,58.4525409984313
"2849_at",-2.15244171852658,5.28309475931264,-12.9277638888039,2.23894087209423e-30,4.78559959331653e-28,58.2862973649883
"3760_at",-2.00541289066374,4.67248499673479,-12.9235128633582,2.31821772957652e-30,4.89534965617924e-28,58.2518932830372
"253152_at",-3.07581162302298,5.09529827026508,-12.9171847396201,2.44144663078795e-30,5.09419465450242e-28,58.2006842812837
"6993_at",2.10807634157249,12.0065391941937,12.8975091531265,2.86791099338006e-30,5.91363246834969e-28,58.0415043880859
"6804_at",-3.18156301179687,7.34284384197337,-12.8714289267496,3.5497874234738e-30,7.23454932223549e-28,57.8306048504829
"51086_at",-2.12074885262973,4.85710896195051,-12.8208840325192,5.36540583544037e-30,1.08091342618119e-27,57.4221829198213
"9783_at",-2.72564612744474,7.36455737495864,-12.7884872672679,6.99028077337947e-30,1.39225739903434e-27,57.1606245027422
"6843_at",-2.59771012855312,7.0063377651702,-12.7087394998339,1.33965172437556e-29,2.52473933044414e-27,56.5175181176786
"114569_at",-5.39891753139394,4.93845890462772,-12.6992611748073,1.44722834180978e-29,2.69846501562767e-27,56.4411538886423
"340419_at",-3.22090248783263,4.52445073153237,-12.6968534825581,1.47590082994192e-29,2.7229593522518e-27,56.4217582227128
"93377_at",-5.00959570217387,5.28114224970558,-12.6646025255761,1.91929909231677e-29,3.46799538051919e-27,56.1620497357237
"59338_at",-2.38870568693244,8.4367300890947,-12.6547792495636,2.07910531853055e-29,3.71841621611071e-27,56.0829810735492
"200407_at",-4.13461100953718,5.03151931516721,-12.6477926023883,2.2007767746344e-29,3.89626409384012e-27,56.0267549290718
"57528_at",-2.60854979749193,5.22238397431704,-12.5950928610929,3.37881499399953e-29,5.80593043135586e-27,55.6029199264597
"3761_at",-2.27642444411241,5.26094108301004,-12.5618996719071,4.42515033990254e-29,7.5300592240264e-27,55.3362166920158
"26507_at",-2.08607936997584,5.36170667135974,-12.4676937157645,9.50577801191879e-29,1.58674067823715e-26,54.5803619551833
