ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
223343_at	5.05e-09	1.88e-13	-11.5551047	20.131881	-6.1254297	MS4A7	membrane spanning 4-domains A7
238067_at	5.05e-09	2.19e-13	11.4910856	19.991549	3.3313537	TBC1D8B	TBC1 domain family member 8B
202516_s_at	5.05e-09	2.77e-13	11.3936895	19.776919	3.3518829	DLG1	discs large MAGUK scaffold protein 1
204787_at	8.81e-09	6.44e-13	-11.0483609	19.004824	-6.0498618	VSIG4	V-set and immunoglobulin domain containing 4
231438_x_at	2.58e-08	2.36e-12	10.5289065	17.810457	3.0408068	CDH8	cadherin 8
218468_s_at	3.04e-08	3.34e-12	10.3928345	17.49099	6.7974367	GREM1	gremlin 1, DAN family BMP antagonist
202514_at	3.31e-08	4.82e-12	10.2493086	17.151039	2.5162348	DLG1	discs large MAGUK scaffold protein 1
203549_s_at	3.31e-08	4.85e-12	-10.2469808	17.1455	-6.344726	LPL	lipoprotein lipase
231887_s_at	7.29e-08	1.20e-11	-9.8976468	16.305138	-3.0779624	PALD1	phosphatase domain containing, paladin 1
44783_s_at	7.88e-08	1.44e-11	-9.8274593	16.134101	-2.8598989	HEY1	hes related family bHLH transcription factor with YRPW motif 1
212070_at	1.39e-07	2.89e-11	-9.5637797	15.485006	-4.4904849	ADGRG1	adhesion G protein-coupled receptor G1
241458_at	1.39e-07	3.05e-11	9.5438039	15.435411	1.522151		
204416_x_at	1.46e-07	3.48e-11	-9.4946186	15.313046	-4.9917108	APOC1	apolipoprotein C1
230391_at	1.46e-07	3.74e-11	-9.4674363	15.245267	-4.6322814	CD84	CD84 molecule
222738_at	1.62e-07	4.72e-11	9.3804616	15.027662	2.5170655	WWC2///CLDN22	WW and C2 domain containing 2///claudin 22
223775_at	1.62e-07	5.09e-11	9.3527258	14.958035	4.9642648	HHIP	hedgehog interacting protein
203548_s_at	1.62e-07	5.29e-11	-9.3382489	14.921647	-6.0006582	LPL	lipoprotein lipase
240357_at	1.62e-07	5.34e-11	9.3351361	14.913819	0.8721314		
219771_at	1.62e-07	6.19e-11	9.2801829	14.775388	2.6612791	TBC1D8B	TBC1 domain family member 8B
206028_s_at	1.62e-07	6.19e-11	-9.2800441	14.775038	-4.1414218	MERTK	MER proto-oncogene, tyrosine kinase
201649_at	1.62e-07	6.40e-11	-9.2676805	14.743832	-2.0517286	UBE2L6	ubiquitin conjugating enzyme E2 L6
1561180_at	1.62e-07	6.51e-11	9.2611286	14.727286	1.6253984		
207661_s_at	2.61e-07	1.10e-10	9.0683248	14.237565	1.0221642	SH3PXD2A	SH3 and PX domains 2A
218559_s_at	4.14e-07	1.82e-10	-8.8844435	13.765474	-3.505174	MAFB	MAF bZIP transcription factor B
201721_s_at	4.70e-07	2.15e-10	-8.8235037	13.607945	-6.202994	LAPTM5	lysosomal protein transmembrane 5
202515_at	8.50e-07	4.08e-10	8.5918327	13.004249	1.593519	DLG1	discs large MAGUK scaffold protein 1
227266_s_at	8.50e-07	4.20e-10	-8.581697	12.977664	-4.1792883	FYB	FYN binding protein
203736_s_at	8.64e-07	4.42e-10	8.5629442	12.928439	2.2862587	PPFIBP1	PPFIA binding protein 1
209539_at	8.82e-07	4.68e-10	-8.5428243	12.875572	-2.612163	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
212240_s_at	8.86e-07	4.86e-10	-8.5290745	12.83941	-2.920212	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
1554385_a_at	8.94e-07	5.07e-10	8.5141993	12.800258	1.2009696	PADI2	peptidyl arginine deiminase 2
235352_at	1.26e-06	7.42e-10	-8.3781582	12.440779	-3.9429156	MR1	major histocompatibility complex, class I-related
204469_at	1.26e-06	7.74e-10	-8.3630044	12.400578	-3.9397118	PTPRZ1	protein tyrosine phosphatase, receptor type Z1
217574_at	1.26e-06	7.85e-10	8.3580649	12.387468	3.4330009	CDH8	cadherin 8
203473_at	1.27e-06	8.10e-10	-8.3467774	12.357495	-4.9675053	SLCO2B1	solute carrier organic anion transporter family member 2B1
222670_s_at	1.37e-06	9.17e-10	-8.3029614	12.240986	-3.9319451	MAFB	MAF bZIP transcription factor B
217757_at	1.37e-06	9.28e-10	-8.2986065	12.229392	-3.4539021	A2M	alpha-2-macroglobulin
1567361_at	1.46e-06	1.04e-09	8.258821	12.12335	2.8972968	BDNF-AS	BDNF antisense RNA
223620_at	1.46e-06	1.04e-09	-8.2584871	12.122459	-5.3829659	GPR34	G protein-coupled receptor 34
237108_x_at	1.48e-06	1.08e-09	8.2440426	12.083907	0.8677963	LINC00982	long intergenic non-protein coding RNA 982
202953_at	1.57e-06	1.17e-09	-8.2154133	12.007411	-5.6890287	C1QB	complement C1q B chain
218232_at	1.63e-06	1.26e-09	-8.1916111	11.94373	-5.3919439	C1QA	complement C1q A chain
226459_at	2.03e-06	1.60e-09	-8.10638	11.715081	-4.0822115	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1
220330_s_at	2.04e-06	1.64e-09	-8.0978761	11.692215	-4.3947676	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
227724_at	2.10e-06	1.73e-09	8.078969	11.641342	2.4360344	NUTM2B-AS1///NUTM2A-AS1	NUTM2B antisense RNA 1///NUTM2A antisense RNA 1
212884_x_at	2.21e-06	1.86e-09	-8.0535452	11.572861	-4.0200344	APOE	apolipoprotein E
224065_at	2.30e-06	1.98e-09	8.0323191	11.515622	0.9287033	HIPK2	homeodomain interacting protein kinase 2
202428_x_at	2.35e-06	2.06e-09	-8.0176564	11.476047	-0.9559206	DBI	diazepam binding inhibitor, acyl-CoA binding protein
223280_x_at	2.46e-06	2.20e-09	-7.9943659	11.413129	-5.3032079	MS4A6A	membrane spanning 4-domains A6A
212188_at	3.17e-06	2.90e-09	-7.8975722	11.150899	-2.590623	KCTD12	potassium channel tetramerization domain containing 12
202035_s_at	3.34e-06	3.13e-09	7.8709741	11.078631	2.4877617	SFRP1	secreted frizzled related protein 1
1556037_s_at	3.34e-06	3.18e-09	7.8658477	11.064692	5.1655136	HHIP	hedgehog interacting protein
201743_at	3.53e-06	3.43e-09	-7.8398868	10.994053	-5.3718138	CD14	CD14 molecule
226875_at	3.80e-06	3.76e-09	-7.8077975	10.906622	-1.9888634	DOCK11	dedicator of cytokinesis 11
218839_at	4.19e-06	4.27e-09	-7.7631088	10.784648	-3.3035527	HEY1	hes related family bHLH transcription factor with YRPW motif 1
203382_s_at	4.19e-06	4.29e-09	-7.761767	10.780982	-5.0678358	APOE	apolipoprotein E
211794_at	4.25e-06	4.43e-09	-7.7506286	10.75054	-3.5963274	FYB	FYN binding protein
225763_at	4.26e-06	4.52e-09	-7.7437988	10.731866	-3.1855628	RCSD1	RCSD domain containing 1
1552807_a_at	4.43e-06	4.78e-09	-7.7245479	10.679201	-4.6220807	SIGLEC10	sialic acid binding Ig like lectin 10
203735_x_at	4.64e-06	5.17e-09	7.6972279	10.604384	2.4183353	PPFIBP1	PPFIA binding protein 1
225589_at	4.64e-06	5.18e-09	7.6966888	10.602906	2.1304274	SH3RF1	SH3 domain containing ring finger 1
209389_x_at	4.67e-06	5.30e-09	-7.6884855	10.580422	-1.3306646	DBI	diazepam binding inhibitor, acyl-CoA binding protein
215843_s_at	4.88e-06	5.63e-09	7.6678352	10.523788	2.0444235	TLL2	tolloid like 2
214460_at	5.02e-06	5.88e-09	-7.6526653	10.482151	-3.2852706	LSAMP	limbic system-associated membrane protein
215051_x_at	5.28e-06	6.27e-09	-7.6303966	10.42098	-4.2289826	AIF1	allograft inflammatory factor 1
206498_at	5.52e-06	6.74e-09	7.6053197	10.352024	3.2226775	OCA2	OCA2 melanosomal transmembrane protein
