"source","target","weight"
"A2M","TIMP1",0.736
"A2M","TGFB1",0.91
"A2M","SERPINE1",0.804
"A2M","LTF",0.724
"A2M","APOE",0.975
"A2M","SERPINF1",0.88
"A2M","CP",0.889
"A2M","SERPING1",0.905
"A2M","CLU",0.896
"A2M","PLAU",0.715
"A2M","NGF",0.719
"A2M","TF",0.82
"A2M","MMP9",0.845
"A2M","FN1",0.851
"A2M","SERPINA3",0.929
"A2M","HSPA5",0.972
"A2M","SERPINA1",0.98
"AATF","CD74",0.834
"AATF","RPS4Y1",0.767
"AATF","DDX10",0.958
"ABAT","ALDH5A1",0.994
"ABAT","GAD1",0.975
"ABAT","GATM",0.814
"ABCA1","APOE",0.98
"ABCA1","SCARB2",0.83
"ABCA1","PPARG",0.82
"ABCA1","LIPC",0.746
"ABCA1","SNTB1",0.75
"ABCA1","PLTP",0.829
"ABCC4","SLCO2B1",0.713
"ABCG1","APOE",0.928
"ABCG1","SCARB2",0.809
"ABCG1","PPARG",0.76
"ABCG2","NANOG",0.717
"ABCG2","POU5F1",0.723
"ABCG2","SLCO2B1",0.775
"ABCG2","ALDH1A1",0.738
"ABCG2","CD44",0.736
"ABCG2","PROM1",0.787
"ABL2","EGFR",0.782
"ACACA","PPARG",0.703
"ACACA","ELOVL6",0.868
"ACACA","ACSL1",0.807
"ACACA","PC",0.775
"ACER3","SPHK1",0.965
"ACER3","PLPP3",0.911
"ACSBG1","ACSL1",0.74
"ACSBG1","ACSL4",0.754
"ACSBG1","ACSL6",0.758
"ACSBG1","LPL",0.816
"ACSL1","PNPLA3",0.732
"ACSBG1","ACSL1",0.74
"ACSL1","SCARB2",0.826
"ACSL1","PPARG",0.745
"ACSL1","LIPC",0.702
"ACSL1","ACSL4",0.77
"ACACA","ACSL1",0.807
"ACSL1","LPL",0.928
"ACSL4","PNPLA3",0.712
"ACSBG1","ACSL4",0.754
"ACSL4","AMMECR1",0.936
"ACSL4","COL4A5",0.812
"ACSL4","ACSL6",0.731
"ACSL1","ACSL4",0.77
"ACSL4","LPL",0.905
"ACSL6","PNPLA3",0.716
"ACSBG1","ACSL6",0.758
"ACSL4","ACSL6",0.731
"ACSL6","LPL",0.899
"ACTA1","ACTA2",0.91
"ACTA1","TMOD1",0.929
"ACTA1","ACTC1",0.966
"ACTA1","CFL2",0.967
"ACTA1","MTSS1",0.906
"ACTA1","FLNC",0.792
"ACTA1","PHACTR1",0.93
"ACTA1","TPM1",0.976
"ACTA1","COBL",0.914
"ACTA1","MRTFB",0.914
"ACTA1","TPM2",0.939
"ACTA1","FLNA",0.948
"ACTA1","ACTG2",0.96
"ACTA1","TPM3",0.986
"ACTA2","MYH9",0.953
"ACTA2","TGFB1",0.705
"ACTA2","CNN2",0.704
"ACTA2","FBN1",0.721
"ACTA2","POSTN",0.73
"ACTA2","TPM3",0.741
"ACTA2","CALD1",0.748
"ACTA2","VIM",0.776
"ACTA2","TPM2",0.824
"ACTA2","TPM1",0.838
"ACTA2","MYLK",0.89
"ACTA2","CNN1",0.892
"ACTA1","ACTA2",0.91
"ACTA2","COL1A1",0.928
"ACTA2","TAGLN",0.954
"ACTA2","ACTC1",0.96
"ACTA2","MYL9",0.97
"ACTA2","ACTG2",0.988
"ACTA2","ACTC1",0.96
"ACTC1","CNN1",0.702
"ACTC1","MYOCD",0.701
"ACTC1","TAGLN",0.72
"ACTC1","LDB3",0.799
"ACTC1","ACTG2",0.939
"ACTC1","TPM2",0.954
"ACTA1","ACTC1",0.966
"ACTC1","TPM3",0.996
"ACTC1","TPM1",0.999
"ACTG2","MYH9",0.944
"ACTA2","ACTG2",0.988
"ACTG2","CNN1",0.93
"ACTG2","MYL9",0.974
"ACTC1","ACTG2",0.939
"ACTG2","TPM1",0.786
"ACTG2","MYLK",0.856
"ACTG2","CALD1",0.733
"ACTA1","ACTG2",0.96
"ACTG2","TAGLN",0.82
"ACTG2","TPM2",0.835
"ACTN4","MYH9",0.926
"ACTN4","PRKCA",0.725
"ACTN4","PDLIM5",0.735
"ACTN4","TPM2",0.76
"ACTN4","ANLN",0.78
"ACTN4","TLN2",0.781
"ACTN4","EGFR",0.785
"ACTN4","WT1",0.785
"ACTN4","ITGA3",0.805
