biomarkerid	biomarkername	synonym	gene_id	biomarker_type	molecular_type	use_development	use_refid	confidence	with_condition	identity_method	source	development_stage	disease_subtype	population	sample_size	refid	displayorder	title	url
LCBD-1283	Tumor infiltrating lymphocytes (TIL)	TIL	7096	Predictive	Cell				the abundance of tumor infiltrating lymphocytes	assessing lymphocytic infiltration of CD8 + T cells in the tumor tissue		Research	Non–Small-Cell Lung Cancer (NSCLC)			1	1	Effect and biomarker of Nivolumab for non-small-cell lung cancer	https://pubmed.ncbi.nlm.nih.gov/31387181
LCBD-0039	Histologic subtype			Predictive	Tumor Histology							Research	Non–Small-Cell Lung Cancer (NSCLC)			2	1	A systematic review and Canadian consensus recommendations on the use of biomarkers in the treatment of non-small cell lung cancer	https://pubmed.ncbi.nlm.nih.gov/21709590
LCBD-0671	TGF-a (transforming growth factor)	TGF-a		Predictive	Small Molecular Compound			Potential				Research	Non–Small-Cell Lung Cancer (NSCLC)			7	1	Which biomarker predicts benefit from EGFR-TKI treatment for patients with lung cancer?	https://pubmed.ncbi.nlm.nih.gov/17325698
LCBD-0270	miR-25		407014	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Research	Non–Small-Cell Lung Cancer (NSCLC)		152	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0310	miR-1		79187	Prognostic	RNA				Downregulated	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0548	miR-486		619554	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0738	miR-223		407008	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Research	Non–Small-Cell Lung Cancer (NSCLC)		152	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0803	miR-30d		407033	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0810	miR-499		574501	Prognostic	RNA				Patients exhibiting large amounts of two or more high-risk miRNAs in the serum had a significantly increased probability of shorter survival times	Solexa SEQ (sequencing-based approaches) uencing, Quantitative RT-PCR (reverse transcriptase)		Approved	Non–Small-Cell Lung Cancer (NSCLC)		243	15	1	"Serum microRNAs as non-invasive biomarkers
for cancer"	https://pubmed.ncbi.nlm.nih.gov/21110877
LCBD-0209	GPIHBP1		338328	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0213	CDCA5		113130	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0224	TK1		7083	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0296	CLDN18		51208	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0313	FHL1		2273	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0740	GINS2		51659	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0876	AGER		177	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0883	GPT2		84706	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0970	TOP2A		7153	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-1050	ADAMTS8		11095	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-1349	HJURP		55355	Diagnostic	mRNA				Overexpression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-1409	ADH1B		125	Diagnostic	mRNA				Expression	RT-PCR			Lung Cancer		892	17	1	Clinical verification of plasma messenger RNA as novel noninvasive biomarker identified through bioinformatics analysis for lung cancer	https://pubmed.ncbi.nlm.nih.gov/28410204
LCBD-0127	8-oxodG			Predictive	Micromolecule 				Increased level of 8-oxodG levels	"HPLC-MS or HPLC-ECD "		Approved	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-0127	8-oxodG			Predictive	Micromolecule 				Increased level of 8-oxodG levels	ELISA		Approved	Lung Cancer			19	2	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-0457	Th17 cells			Prognostic	Cell				Expression	multicolor flow cytometry		Approved	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-1004	MDA			Predictive	Micromolecule 					ELISA, HPLC methods		Research	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-1283	Tumor-infiltrating lymphocytes (TIL)	TIL	7096	Prognostic	Cell					immunohistochemistry (IHC (immunohistochemistry))		Approved	Lung Cancer			19	2	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-1296	3-Nitrotyrosine		335	Analysis	Micromolecule 				High expression	HPLC		Research	Lung Cancer			19	1	A review of the application of inflammatory biomarkers in epidemiologic cancer research	https://pubmed.ncbi.nlm.nih.gov/24962838
LCBD-0869	heptane			Predictive	Organic Compound				Higher levels than control subjects			Research	Non–Small-Cell Lung Cancer (NSCLC)			28	1	Exhaled biomarkers in lung cancer.	https://pubmed.ncbi.nlm.nih.gov/19567608
LCBD-1117	volatile organic compound (VOC)	VOC		Predictive	Organic Compound				"Changed apparently in patients with lung cancer "	"proteomics, metabolomics, mass spectromics, gas chromatography/mass spectrometry (GC-MS) and ion mobility
spectrometries"		Research	Lung Cancer			28	1	Exhaled biomarkers in lung cancer.	https://pubmed.ncbi.nlm.nih.gov/19567608
LCBD-1273	isoprene			Predictive	Organic Compound				Higher levels than control subjects			Research	Non–Small-Cell Lung Cancer (NSCLC)			28	1	Exhaled biomarkers in lung cancer.	https://pubmed.ncbi.nlm.nih.gov/19567608
LCBD-0195	GSTZ1		2954	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0249	CEBPG		1054	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0272	MGST1		4257	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0583	XRCC1		7515	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0657	LAPTM4B		55353	Predictive	mRNA				Tumor-associated gene expression decreases; genes consistently altered			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0666	ERCC4		2072	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0670	SOD1		6647	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0688	IL8	IL-8	3576	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0759	PLA2G4A		5321	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0780	DEFB1		1672	Predictive	mRNA				"Variability in the expression of  Inflammation genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0834	E2F			Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0847	ERCC5		2073	Predictive	mRNA				"Variability in the expression of   Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0910	TGFBR2		7048	Predictive	mRNA				Tumor-associated gene expression decreases; genes consistently altered			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
LCBD-0962	CAT		847	Predictive	mRNA				"Variability in the expression of Antioxidant and DNA repair pathways genes "			Research	Lung Cancer			33	1	The Airway Transcriptome as a Biomarker for Early Lung Cancer Detection	https://pubmed.ncbi.nlm.nih.gov/29463557
