,biomarker_gene
1,GPIHBP1
2,CDCA5
3,TK1
4,CLDN18
5,FHL1
6,GINS2
7,AGER
8,GPT2
9,TOP2A
10,ADAMTS8
11,HJURP
12,ADH1B
13,MDA
14,GSTZ1
15,CEBPG
16,MGST1
17,XRCC1
18,LAPTM4B
19,ERCC4
20,SOD1
21,IL8
22,PLA2G4A
23,DEFB1
24,E2F
25,ERCC5
26,TGFBR2
27,CAT
28,C6
29,SERPINA1
30,NETO2
31,GSTP1
32,VIPR1
33,FCGR3A
34,GSTM3
35,GSTT1
36,R5PIA
37,RGS19
38,LINE-1
39,MTHFR
40,E2F1
41,RUNX
42,S100P
43,LOC147
44,SHOX2
45,SHOX2
46,GBU4-5
47,CDH13
48,CBLC
49,MIP-4
50,GPX3
51,GPX3
52,GSTZ1
53,CYP24A1
54,CEBPG
55,FHIT
56,MGST1
57,TP63
58,MYC
59,TCF21
60,TCF21
61,CDKN2A
62,RASSF1A
63,CSTA
64,MGMT
65,MGMT
66,LRIG3
67,PITX2
68,NY-ESO-1
69,RGM-C
70,OPCML
71,CAGE
72,IMPDH
73,IMPDH
74,XRCC1
75,DCC
76,LAMR1
77,ANXA2
78,MIF
79,ERCC4
80,SOD1
81,AIM
82,APC
83,HYAL2
84,ERCC5
85,PRKCI
86,GDNF
87,BVES
88,PTPRN2
89,ACBP
90,CAT
91,CDH1
92,CDH1
93,CEP3
94,PLUNC
95,ALDH3A1
96,GPX1
97,GPX1
98,SFTPC
99,GSTP1
100,HER2
101,CEP6
102,PAX8
103,RASSF1
104,SOX2
105,KCNH5
106,TNFRSF25
107,TMLS4
108,PGAM1
109,HSP70-9B
110,GSTM3
111,GSTT1
112,MTHFR
113,E2F1
114,RUNX
115,S100P
116,LOC147
117,SHOX2
118,SHOX2
119,GBU4-5
120,CDH13
121,CBLC
122,MIP-4
123,GPX3
124,GPX3
125,GSTZ1
126,CYP24A1
127,CEBPG
128,FHIT
129,MGST1
130,TP63
131,MYC
132,TCF21
133,TCF21
134,CDKN2A
135,RASSF1A
136,CSTA
137,MGMT
138,MGMT
139,LRIG3
140,PITX2
141,NY-ESO-1
142,RGM-C
143,OPCML
144,CAGE
145,IMPDH
146,IMPDH
147,XRCC1
148,DCC
149,LAMR1
150,ANXA2
151,MIF
152,ERCC4
153,SOD1
154,AIM
155,APC
156,HYAL2
157,ERCC5
158,PRKCI
159,GDNF
160,BVES
161,PTPRN2
162,ACBP
163,CAT
164,CDH1
165,CDH1
166,CEP3
167,PLUNC
168,ALDH3A1
169,GPX1
170,GPX1
171,SFTPC
172,GSTP1
173,HER2
174,CEP6
175,PAX8
176,RASSF1
177,SOX2
178,KCNH5
179,TNFRSF25
180,TMLS4
181,PGAM1
182,HSP70-9B
183,GSTM3
184,GSTT1
185,MYC
186,RASSF1A
187,MGMT
188,APC
189,GSTP1
190,DAPK11
191,SHOX2
192,BRMS1
193,TMEFF2
194,
195,RUNX3
196,CTC
197,CTC
198,CTC
199,CTC
200,MGMT
201,RASSF1
202,DLEC1
203,MLH1
204,CDH13
205,RUNX3
206,DAPK
207,RASSF1A
208,DAL1
209,APC
210,SPARC
211,CDH1
212,CXCL12
213,PTEN
214,DLEC1
215,MLH1
216,CDH13
217,RUNX3
218,DAPK
219,RASSF1A
220,DAL1
221,APC
222,SPARC
223,CDH1
224,CXCL12
225,PTEN
226,IL-6
227,MYC
228,
229,SHOX2
230,DCLK1
231,BRMS1
232,BRAF
233,RASSF1A
234,RASSF1A
235,SFN
236,MGMT
237,APC
238,KRAS
239,SOX17
240,RAR
241,GSTP1
242,DAPK11
243,PTPRN4
244,PD-L1
245,MET
246,KRAS
247,KRAS
248,KRAS
249,KRAS
250,KRAS
251,KRAS
252,EGFR
253,EGFR
254,EGFR
255,EGFR
256,EGFR
257,EGFR
258,EGFR
259,EGFR
260,ALK
261,ALK
262,ALK
263,ALK
264,ALK
265,ALK
266,ALK
267,ALK
268,ALK
269,ALK
270,ALK
271,ALK
272,ALK
273,ALK
274,ALK
275,ALK
276,ALK
277,ALK
278,ROS1
