ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
217046_s_at	6.23e-36	2.05e-40	-20.1877271	81.125866	-3.46291867	AGER	advanced glycosylation end-product specific receptor
215918_s_at	6.23e-36	2.28e-40	-20.1646894	81.022301	-2.5091	SPTBN1	spectrin beta, non-erythrocytic 1
202524_s_at	5.57e-34	3.06e-38	-19.1170533	76.238592	-2.47131367	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
230469_at	8.87e-33	6.49e-37	-18.4781767	73.249942	-3.4138185	RTKN2	rhotekin 2
228540_at	9.94e-33	9.09e-37	-18.4083506	72.920015	-1.21880167	QKI	QKI, KH domain containing RNA binding
239650_at	2.66e-32	2.92e-36	-18.1678775	71.778846	-3.105129	NCKAP5	NCK associated protein 5
1557729_at	6.01e-32	7.70e-36	-17.9687728	70.828207	-1.770033	GRK5	G protein-coupled receptor kinase 5
206208_at	9.29e-32	1.36e-35	-17.8525178	70.270721	-2.5027335	CA4	carbonic anhydrase 4
206209_s_at	4.14e-31	6.82e-35	-17.5249524	68.690367	-3.86942117	CA4	carbonic anhydrase 4
217771_at	7.18e-31	1.31e-34	17.3926827	68.048243	2.06918167	GOLM1	golgi membrane protein 1
229893_at	8.51e-31	1.71e-34	-17.3392031	67.787969	-1.8765855	FRMD3	FERM domain containing 3
207302_at	1.05e-30	2.31e-34	-17.2788376	67.493736	-2.08049317	SGCG	sarcoglycan gamma
205941_s_at	1.27e-30	3.01e-34	17.2253691	67.232724	3.798228	COL10A1	collagen type X alpha 1 chain
213715_s_at	1.68e-30	4.31e-34	-17.1537446	66.8825	-2.01435583	KANK3	KN motif and ankyrin repeat domains 3
204396_s_at	1.06e-29	2.91e-33	-16.7725983	65.007658	-2.52072517	GRK5	G protein-coupled receptor kinase 5
229641_at	2.15e-29	6.30e-33	-16.6196768	64.250206	-2.33121867	CCBE1	collagen and calcium binding EGF domains 1
209470_s_at	3.52e-29	1.10e-32	-16.5102329	63.706281	-4.19842517	GPM6A	glycoprotein M6A
210081_at	1.15e-28	3.80e-32	-16.2657186	62.485607	-4.397615	AGER	advanced glycosylation end-product specific receptor
231991_at	1.75e-28	6.07e-32	-16.1739855	62.02572	-1.7766025	CCM2L	CCM2 like scaffolding protein
205637_s_at	2.07e-28	7.58e-32	-16.1302888	61.806287	-1.59067167	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
230132_at	2.71e-28	1.04e-31	-16.0681123	61.493644	-1.98682667	PCAT19	prostate cancer associated transcript 19 (non-protein coding)
217428_s_at	3.70e-28	1.49e-31	15.9986989	61.144048	4.25829733	COL10A1	collagen type X alpha 1 chain
209469_at	4.16e-28	1.75e-31	-15.9671282	60.984847	-3.61581183	GPM6A	glycoprotein M6A
203435_s_at	4.30e-28	1.89e-31	-15.9522038	60.909546	-2.194316	MME	membrane metallo-endopeptidase
205107_s_at	8.10e-28	3.70e-31	15.8213358	60.248081	1.6109275	EFNA4	ephrin A4
241672_at	8.13e-28	3.87e-31	-15.8129633	60.205691	-2.7189875	SERTM1	serine rich and transmembrane domain containing 1
220027_s_at	8.16e-28	4.03e-31	-15.8048784	60.164749	-1.95229083	RASIP1	Ras interacting protein 1
232224_at	1.09e-27	5.60e-31	-15.7412062	59.84204	-1.50618583	MASP1	mannan binding lectin serine peptidase 1
217177_s_at	1.73e-27	9.15e-31	-15.6459978	59.35858	-1.93427367	PTPRB	protein tyrosine phosphatase, receptor type B
205200_at	2.47e-27	1.36e-30	-15.5700505	58.972144	-2.87982467	EXOSC7///CLEC3B	exosome component 7///C-type lectin domain family 3 member B
226028_at	3.38e-27	1.92e-30	-15.5033369	58.632123	-2.39167417	ROBO4	roundabout guidance receptor 4
242324_x_at	3.87e-27	2.32e-30	-15.466115	58.442183	-1.79576217	CCBE1	collagen and calcium binding EGF domains 1
209904_at	3.87e-27	2.34e-30	-15.4651814	58.437417	-3.11718933	TNNC1	troponin C1, slow skeletal and cardiac type
221861_at	6.30e-27	3.92e-30	-15.365652	57.928711	-1.21062633	ARRB1	arrestin beta 1
238062_at	6.65e-27	4.26e-30	-15.3496082	57.8466	-2.2897235	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
49111_at	6.95e-27	4.57e-30	-15.3359245	57.776544	-1.3245365	ARRB1	arrestin beta 1
235228_at	1.18e-26	7.95e-30	-15.2297636	57.232292	-2.581462	CCDC85A	coiled-coil domain containing 85A
1556579_s_at	1.40e-26	9.72e-30	-15.1913178	57.03487	-2.85504283	IGSF10	immunoglobulin superfamily member 10
209875_s_at	1.55e-26	1.10e-29	15.1671986	56.910929	4.503354	SPP1	secreted phosphoprotein 1
222416_at	1.93e-26	1.41e-29	15.1198493	56.667419	1.08628883	ALDH18A1	aldehyde dehydrogenase 18 family member A1
226950_at	2.03e-26	1.52e-29	-15.1058737	56.595496	-1.99019167	ACVRL1	activin A receptor like type 1
219719_at	3.56e-26	2.73e-29	-14.9938004	56.01792	-1.897787	HIGD1B	HIG1 hypoxia inducible domain family member 1B
