"SYMBOL","degree","is_biomarker"
"ABCA12",2,0
"ABCA4",2,0
"ABCC3",2,0
"ACKR1",8,0
"ACKR4",6,0
"ACTN2",8,0
"ACVRL1",8,0
"ADAM12",2,0
"ADAMTS1",2,0
"ADCY8",4,0
"ADGRL2",4,0
"ADGRL3",4,0
"ADH1B",12,0
"ADRB1",4,0
"ADRB2",16,0
"AGER",12,0
"AGR2",4,0
"AGTR1",10,0
"AGTR2",4,0
"AKAP12",10,0
"AKR1B10",2,0
"ALDH3A1",14,0
"ALK",16,0
"ALKAL2",2,0
"ANGPT1",26,0
"ANGPTL1",6,0
"ANK2",8,0
"ANLN",50,0
"ANOS1",6,0
"ANXA1",16,0
"ANXA2",12,0
"AOC1",2,0
"AOC3",10,0
"AOX1",6,0
"APC",4,0
"ARC",10,0
"AREG",18,0
"ARSL",2,0
"ASPA",2,0
"ASPM",64,0
"ATF3",24,0
"ATP1A2",4,0
"B3GNT3",2,0
"BDNF",34,0
"BIRC5",74,0
"BMP2",22,0
"BMPER",2,0
"BPIFA1",2,0
"BRAF",16,0
"BTNL9",2,0
"BUB1B",68,0
"C20orf85",2,0
"C5AR1",8,0
"C6",4,0
"C7",6,0
"C8B",8,0
"CA3",4,0
"CA4",4,0
"CALCRL",4,0
"CASQ2",4,0
"CAT",2,0
"CAV1",30,0
"CAV2",6,0
"CAVIN1",12,0
"CAVIN2",4,0
"CBFB",20,0
"CBLC",8,0
"CCL18",12,0
"CCNA2",72,0
"CCNB1",84,0
"CCNB2",70,0
"CD19",28,0
"CD1A",4,0
"CD207",4,0
"CD24",14,0
"CD274",38,0
"CD300LG",2,0
"CD36",30,0
"CD69",22,0
"CD93",4,0
"CDC20",68,0
"CDC25C",44,0
"CDC45",70,0
"CDCA5",56,0
"CDCA8",66,0
"CDH1",52,0
"CDH13",6,0
"CDH19",2,0
"CDH3",6,0
"CDH5",32,0
"CDKN2A",38,0
"CDKN2B",4,0
"CDO1",2,0
"CEACAM1",2,0
"CEACAM5",8,0
"CEBPD",2,0
"CEBPG",2,0
"CENPF",64,0
"CEP55",66,0
"CETP",6,0
"CFD",2,0
"CFP",12,0
"CLDN11",4,0
"CLDN18",2,0
"CLDN5",22,0
"CLEC14A",2,0
"CLU",20,0
"COL10A1",18,0
"COL11A1",16,0
"COL17A1",2,0
"COL1A1",38,0
"COL1A2",26,0
"COL3A1",26,0
"COL5A1",12,0
"COL5A2",14,0
"COL6A6",2,0
"COMP",10,0
"CP",4,0
"CPB2",6,0
"CR2",8,0
"CRABP2",2,0
"CRYAB",4,0
"CSF3",24,0
"CSPG4",2,0
"CSRNP1",2,0
"CSTA",2,0
"CTAG1B",4,0
"CTHRC1",2,0
"CTNND2",4,0
"CXCL12",52,0
"CXCL13",24,0
"CXCL14",12,0
"CXCL2",24,0
"CXCL3",20,0
"CXCL5",28,0
"CXCL8",68,0
"CXCR2",30,0
"CYP24A1",4,0
"DACH1",4,0
"DAPK1",4,0
"DCC",2,0
"DDX53",4,0
"DEPDC1",48,0
"DEPDC1B",22,0
"DKK2",2,0
"DLC1",2,0
"DLG3",8,0
"DLGAP5",68,0
"DUOX1",2,0
"E2F1",26,0
"E2F8",30,0
"EDN1",22,0
"EDNRB",4,0
"EFEMP1",4,0
"EFNA4",10,0
"EGF",64,0
"EGFR",112,0
"EGR1",18,0
"EGR3",12,0
"EMCN",10,0
"EPAS1",8,0
"EPB41L3",2,0
"EPHA10",2,0
"EPHB2",2,0
"EPN3",2,0
"ERBB2",54,0
"ERCC4",10,0
"ERCC5",6,0
"ERG",2,0
"ERO1A",2,0
"ERVFRD-1",2,0
"ESAM",12,0
"ETV4",2,0
"EXO1",52,0
"EYA4",6,0
"FABP4",4,0
"FCGR3A",32,0
"FCGR3B",32,0
"FCN1",8,0
"FCN3",4,0
"FCRLA",2,0
"FGF2",60,0
"FGFBP2",4,0
"FGFR4",20,0
"FHIT",4,0
"FLRT3",4,0
"FOSB",16,0
"FOXE1",2,0
"FPR2",2,0
"FRAS1",4,0
"FUT2",2,0
"FXYD1",4,0
"GAD1",6,0
"GADD45B",8,0
"GDF15",2,0
"GDNF",18,0
"GFRA3",2,0
"GHR",8,0
"GIMAP1",6,0
"GIMAP6",6,0
"GIMAP7",6,0
"GIMAP8",6,0
"GINS1",12,0
"GINS2",12,0
"GJB2",2,0
"GJB6",2,0
"GNG11",4,0
"GNLY",16,0
"GOLM1",2,0
"GPC3",8,0
"GPD1",2,0
"GPER1",4,0
"GPIHBP1",2,0
"GPR37",6,0
"GPT2",2,0
"GPX3",14,0
"GREM1",4,0
"GRIA1",10,0
"GRK5",6,0
"GSTM3",12,0
"GSTP1",24,0
"GSTZ1",6,0
"GUCY1A2",4,0
"GZMB",22,0
"H2AC8",2,0
"HABP2",2,0
"HAS1",2,0
"HBB",2,0
"HBEGF",24,0
"HGD",2,0
"HJURP",62,0
"HMMR",64,0
"HS6ST2",2,0
"HSD17B6",4,0
"HSPA12B",2,0
"HYAL1",2,0
"HYAL2",4,0
"IBSP",16,0
"IGF2BP3",2,0
"IL1RL1",4,0
"IL33",8,0
"IL37",2,0
"IL6",96,0
"IL7R",20,0
"INMT",2,0
"ITGA1",22,0
"ITGA8",20,0
"KCNK3",6,0
"KCNK5",2,0
"KIF20A",68,0
"KIF4A",58,0
"KISS1R",2,0
"KL",2,0
"KLB",2,0
"KLF1",6,0
"KLF2",8,0
"KLF4",12,0
"KLF6",2,0
"KLRD1",16,0
"KLRF1",6,0
"KRAS",52,0
"KRT15",2,0
"KRT6A",4,0
"LAMA3",8,0
"LAMP3",2,0
"LAPTM4B",2,0
"LDB2",4,0
"LDB3",6,0
"LGR4",2,0
"LIFR",8,0
"LILRB2",8,0
"LIN7A",2,0
"LPL",14,0
"LRIG3",4,0
"LRRK2",10,0
"LYVE1",12,0
"MAFF",2,0
"MAP3K8",2,0
"MARCO",2,0
"MASP1",6,0
"MDK",4,0
"MELK",68,0
"MET",34,0
"MFAP4",4,0
"MFAP5",2,0
"MGMT",18,0
"MGST1",10,0
"MIF",8,0
"MLH1",22,0
"MME",10,0
"MMP1",22,0
"MMP11",8,0
"MMP12",6,0
"MMP13",10,0
"MMP3",24,0
"MMP7",20,0
"MMP9",66,0
"MMRN1",2,0
"MMRN2",6,0
"MNDA",6,0
"MTHFR",4,0
"MUC16",4,0
"MUC20",4,0
"MUC5B",6,0
"MYC",56,0
"NEBL",2,0
"NEDD4L",8,0
"NEK2",58,0
"NFIB",2,0
"NKG7",10,0
"NMU",4,0
"NOS1",6,0
"NOSTRIN",2,0
"NPNT",4,0
"NQO1",4,0
"NR4A1",12,0
"NR4A2",12,0
"NR4A3",10,0
"NRN1",2,0
"NTRK3",8,0
"NUSAP1",62,0
"PAX8",6,0
"PCLAF",54,0
"PCOLCE2",2,0
"PDE5A",4,0
"PDZD2",2,0
"PECAM1",38,0
"PIP5K1B",4,0
"PITX2",2,0
"PLA2G1B",4,0
"PLA2G4A",6,0
"PLCB4",8,0
"PLPP2",8,0
"PPBP",18,0
"PPP1R15A",4,0
"PRF1",22,0
"PRKCI",4,0
"PROK2",4,0
"PSAT1",2,0
"PTEN",42,0
"PTGDS",2,0
"PTGS2",32,0
"PTPRB",10,0
"PTX3",6,0
"QKI",2,0
"RAD54L",8,0
"RAMP2",6,0
"RAMP3",6,0
"RAPGEF4",4,0
"RARA",4,0
"RASAL1",2,0
"RASSF1",18,0
"RECK",4,0
"RGCC",2,0
"RHOJ",2,0
"RMI2",2,0
"ROBO4",8,0
