"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.741","0.061","0.747","0.0","0.0","0.0","0.0","interacts with","ACKR1 (interacts with) ACKR4","0.0","9606.ENSP00000357103","9606.ENSP00000249887","0.0","false","interacts with","ACKR1 (interacts with) ACKR4"
"0.897","0.042","0.897","0.0","0.0","0.0","0.0","interacts with","ACKR1 (interacts with) CXCL5","0.0","9606.ENSP00000357103","9606.ENSP00000296027","0.0","false","interacts with","ACKR1 (interacts with) CXCL5"
"0.834","0.055","0.836","0.0","0.0","0.0","0.0","interacts with","ACKR1 (interacts with) PPBP","0.0","9606.ENSP00000357103","9606.ENSP00000296028","0.0","false","interacts with","ACKR1 (interacts with) PPBP"
"0.99","0.0","0.999","0.9","0.292","0.0","0.0","interacts with","ACKR1 (interacts with) CXCL8","0.0","9606.ENSP00000357103","9606.ENSP00000306512","0.0","false","interacts with","ACKR1 (interacts with) CXCL8"
"0.858","0.088","0.865","0.0","0.046","0.0","0.0","interacts with","ACKR4 (interacts with) CXCL12","0.0","9606.ENSP00000249887","9606.ENSP00000379140","0.0","false","interacts with","ACKR4 (interacts with) CXCL12"
"0.99","0.064","0.992","0.0","0.287","0.0","0.0","interacts with","ACKR4 (interacts with) CXCL13","0.0","9606.ENSP00000249887","9606.ENSP00000286758","0.0","false","interacts with","ACKR4 (interacts with) CXCL13"
"0.541","0.366","0.703","0.0","0.062","0.0","0.0","interacts with","ACTN2 (interacts with) CASQ2","0.0","9606.ENSP00000355537","9606.ENSP00000261448","0.0","false","interacts with","ACTN2 (interacts with) CASQ2"
"0.56","0.143","0.736","0.0","0.355","0.0","0.0","interacts with","ACTN2 (interacts with) SYNPO2","0.0","9606.ENSP00000355537","9606.ENSP00000306015","0.0","false","interacts with","ACTN2 (interacts with) SYNPO2"
"0.772","0.148","0.808","0.0","0.091","0.0","0.0","interacts with","ACTN2 (interacts with) NEBL","0.0","9606.ENSP00000355537","9606.ENSP00000366326","0.0","false","interacts with","ACTN2 (interacts with) NEBL"
"0.947","0.393","0.973","0.0","0.23","0.0","0.0","interacts with","ACTN2 (interacts with) LDB3","0.0","9606.ENSP00000355537","9606.ENSP00000401437","0.0","false","interacts with","ACTN2 (interacts with) LDB3"
"0.916","0.155","0.992","0.8","0.528","0.0","0.751","interacts with","ACVRL1 (interacts with) TGFBR2","0.0","9606.ENSP00000373574","9606.ENSP00000351905","0.0","false","interacts with","ACVRL1 (interacts with) TGFBR2"
"0.678","0.086","0.916","0.54","0.457","0.0","0.0","interacts with","ACVRL1 (interacts with) BMP2","0.0","9606.ENSP00000373574","9606.ENSP00000368104","0.0","false","interacts with","ACVRL1 (interacts with) BMP2"
"0.897","0.077","0.91","0.0","0.126","0.0","0.0","interacts with","ACVRL1 (interacts with) SMAD9","0.0","9606.ENSP00000373574","9606.ENSP00000369154","0.0","false","interacts with","ACVRL1 (interacts with) SMAD9"
"0.628","0.227","0.717","0.0","0.095","0.0","0.0","interacts with","ACVRL1 (interacts with) CDH5","0.0","9606.ENSP00000373574","9606.ENSP00000497290","0.0","false","interacts with","ACVRL1 (interacts with) CDH5"
"0.849","0.067","0.853","0.0","0.0","0.0","0.0","interacts with","ADAM12 (interacts with) TGFBR2","0.0","9606.ENSP00000357668","9606.ENSP00000351905","0.0","false","interacts with","ADAM12 (interacts with) TGFBR2"
"0.717","0.061","0.722","0.0","0.0","0.0","0.0","interacts with","ADAMTS1 (interacts with) AREG","0.0","9606.ENSP00000284984","9606.ENSP00000379097","0.0","false","interacts with","ADAMTS1 (interacts with) AREG"
"0.556","0.055","0.863","0.67","0.126","0.0","0.0","interacts with","ADCY8 (interacts with) PDE5A","0.0","9606.ENSP00000286355","9606.ENSP00000347046","0.0","false","interacts with","ADCY8 (interacts with) PDE5A"
"0.691","0.16","0.971","0.9","0.0","0.0","0.0","interacts with","ADCY8 (interacts with) RAPGEF4","0.0","9606.ENSP00000286355","9606.ENSP00000380271","0.0","false","interacts with","ADCY8 (interacts with) RAPGEF4"
"0.172","0.08","0.71","0.65","0.0","0.0","0.0","interacts with","ADH1B (interacts with) UGT2B4","0.0","9606.ENSP00000306606","9606.ENSP00000305221","0.0","false","interacts with","ADH1B (interacts with) UGT2B4"
"0.116","0.111","0.701","0.65","0.0","0.0","0.0","interacts with","ADH1B (interacts with) MGST1","0.0","9606.ENSP00000306606","9606.ENSP00000379512","0.0","false","interacts with","ADH1B (interacts with) MGST1"
"0.183","0.075","0.721","0.65","0.07","0.0","0.0","interacts with","ADH1B (interacts with) GSTM3","0.0","9606.ENSP00000306606","9606.ENSP00000354357","0.0","false","interacts with","ADH1B (interacts with) GSTM3"
"0.309","0.064","0.767","0.65","0.096","0.0","0.0","interacts with","ADH1B (interacts with) GSTP1","0.0","9606.ENSP00000306606","9606.ENSP00000381607","0.0","false","interacts with","ADH1B (interacts with) GSTP1"
"0.488","0.12","0.857","0.706","0.0","0.001","0.0","interacts with","ADH1B (interacts with) ALDH3A1","0.048","9606.ENSP00000306606","9606.ENSP00000411821","0.0","false","interacts with","ADH1B (interacts with) ALDH3A1"
"0.406","0.263","0.952","0.9","0.0","0.0","0.0","interacts with","ADH1B (interacts with) AOX1","0.0","9606.ENSP00000306606","9606.ENSP00000363832","0.0","false","interacts with","ADH1B (interacts with) AOX1"
"0.469","0.049","0.956","0.9","0.237","0.0","0.935","interacts with","ADRB1 (interacts with) ADRB2","0.0","9606.ENSP00000358301","9606.ENSP00000305372","0.0","false","interacts with","ADRB1 (interacts with) ADRB2"
"0.735","0.047","0.752","0.0","0.097","0.0","0.0","interacts with","ADRB1 (interacts with) GRK5","0.0","9606.ENSP00000358301","9606.ENSP00000376609","0.0","false","interacts with","ADRB1 (interacts with) GRK5"
"0.752","0.0","0.822","0.0","0.314","0.0","0.0","interacts with","ADRB2 (interacts with) ERBB2","0.0","9606.ENSP00000305372","9606.ENSP00000269571","0.0","false","interacts with","ADRB2 (interacts with) ERBB2"
"0.687","0.0","0.706","0.0","0.1","0.0","0.0","interacts with","ADRB2 (interacts with) GRIA1","0.0","9606.ENSP00000305372","9606.ENSP00000428994","0.0","false","interacts with","ADRB2 (interacts with) GRIA1"
"0.752","0.045","0.753","0.0","0.0","0.0","0.0","interacts with","ADRB2 (interacts with) RAPGEF4","0.0","9606.ENSP00000305372","9606.ENSP00000380271","0.0","false","interacts with","ADRB2 (interacts with) RAPGEF4"
"0.431","0.045","0.812","0.65","0.128","0.0","0.0","interacts with","ADRB2 (interacts with) EDN1","0.0","9606.ENSP00000305372","9606.ENSP00000368683","0.0","false","interacts with","ADRB2 (interacts with) EDN1"
"0.791","0.042","0.873","0.4","0.068","0.0","0.602","interacts with","ADRB2 (interacts with) AGTR1","0.0","9606.ENSP00000305372","9606.ENSP00000398832","0.0","false","interacts with","ADRB2 (interacts with) AGTR1"
"0.75","0.054","0.91","0.5","0.333","0.0","0.0","interacts with","ADRB2 (interacts with) GRK5","0.0","9606.ENSP00000305372","9606.ENSP00000376609","0.0","false","interacts with","ADRB2 (interacts with) GRK5"
"0.967","0.044","0.983","0.0","0.51","0.0","0.0","interacts with","ADRB2 (interacts with) AKAP12","0.0","9606.ENSP00000305372","9606.ENSP00000384537","0.0","false","interacts with","ADRB2 (interacts with) AKAP12"
"0.25","0.057","0.944","0.9","0.311","0.0","0.0","interacts with","AGER (interacts with) KRAS","0.0","9606.ENSP00000364210","9606.ENSP00000256078","0.0","false","interacts with","AGER (interacts with) KRAS"
"0.27","0.072","0.962","0.0","0.948","0.0","0.0","interacts with","AGER (interacts with) S100P","0.0","9606.ENSP00000364210","9606.ENSP00000296370","0.0","false","interacts with","AGER (interacts with) S100P"
"0.516","0.743","0.87","0.0","0.0","0.0","0.0","interacts with","AGER (interacts with) SFTPC","0.0","9606.ENSP00000364210","9606.ENSP00000316152","0.0","false","interacts with","AGER (interacts with) SFTPC"
"0.997","0.106","0.999","0.5","0.41","0.0","0.0","interacts with","AGER (interacts with) S100A12","0.0","9606.ENSP00000364210","9606.ENSP00000357726","0.0","false","interacts with","AGER (interacts with) S100A12"
"0.582","0.488","0.776","0.0","0.0","0.0","0.0","interacts with","AGER (interacts with) SFTPD","0.0","9606.ENSP00000364210","9606.ENSP00000361366","0.0","false","interacts with","AGER (interacts with) SFTPD"
"0.716","0.105","0.734","0.0","0.0","0.0","0.0","interacts with","AGER (interacts with) CD36","0.0","9606.ENSP00000364210","9606.ENSP00000415743","0.0","false","interacts with","AGER (interacts with) CD36"
"0.404","0.0","0.782","0.65","0.0","0.0","0.0","interacts with","AGTR1 (interacts with) CXCL8","0.0","9606.ENSP00000398832","9606.ENSP00000306512","0.0","false","interacts with","AGTR1 (interacts with) CXCL8"
"0.835","0.042","0.982","0.9","0.0","0.0","0.835","interacts with","AGTR1 (interacts with) AGTR2","0.0","9606.ENSP00000398832","9606.ENSP00000360973","0.0","false","interacts with","AGTR1 (interacts with) AGTR2"
"0.785","0.0","0.898","0.5","0.128","0.0","0.0","interacts with","AGTR1 (interacts with) EDN1","0.0","9606.ENSP00000398832","9606.ENSP00000368683","0.0","false","interacts with","AGTR1 (interacts with) EDN1"
"0.278","0.043","0.739","0.5","0.333","0.0","0.0","interacts with","AGTR1 (interacts with) GRK5","0.0","9606.ENSP00000398832","9606.ENSP00000376609","0.0","false","interacts with","AGTR1 (interacts with) GRK5"
"0.593","0.0","0.807","0.5","0.128","0.0","0.0","interacts with","AGTR2 (interacts with) EDN1","0.0","9606.ENSP00000360973","9606.ENSP00000368683","0.0","false","interacts with","AGTR2 (interacts with) EDN1"
"0.415","0.053","0.774","0.0","0.625","0.0","0.0","interacts with","AKAP12 (interacts with) HSPA12B","0.0","9606.ENSP00000384537","9606.ENSP00000254963","0.0","false","interacts with","AKAP12 (interacts with) HSPA12B"
"0.491","0.49","0.81","0.0","0.329","0.0","0.0","interacts with","AKAP12 (interacts with) EGFR","0.0","9606.ENSP00000384537","9606.ENSP00000275493","0.0","false","interacts with","AKAP12 (interacts with) EGFR"
"0.203","0.751","0.793","0.0","0.0","0.0","0.0","interacts with","AKAP12 (interacts with) CAVIN1","0.0","9606.ENSP00000384537","9606.ENSP00000349541","0.0","false","interacts with","AKAP12 (interacts with) CAVIN1"
"0.732","0.047","0.733","0.0","0.0","0.0","0.0","interacts with","AKAP12 (interacts with) ANGPT1","0.0","9606.ENSP00000384537","9606.ENSP00000428340","0.0","false","interacts with","AKAP12 (interacts with) ANGPT1"
"0.544","0.336","0.717","0.137","0.045","0.0","0.0","interacts with","AKR1B10 (interacts with) ALDH3A1","0.0","9606.ENSP00000352584","9606.ENSP00000411821","0.0","false","interacts with","AKR1B10 (interacts with) ALDH3A1"
"0.096","0.079","0.928","0.918","0.071","0.0","0.0","interacts with","ALDH3A1 (interacts with) AOC3","0.0","9606.ENSP00000411821","9606.ENSP00000312326","0.0","false","interacts with","ALDH3A1 (interacts with) AOC3"
