"name","selected","shared name"
"ACKR1","false","ACKR1"
"ACKR4","false","ACKR4"
"CXCL5","false","CXCL5"
"PPBP","false","PPBP"
"CXCL8","false","CXCL8"
"CXCL12","false","CXCL12"
"CXCL13","false","CXCL13"
"ACTN2","false","ACTN2"
"CASQ2","false","CASQ2"
"SYNPO2","false","SYNPO2"
"NEBL","false","NEBL"
"LDB3","false","LDB3"
"ACVRL1","false","ACVRL1"
"TGFBR2","false","TGFBR2"
"BMP2","false","BMP2"
"SMAD9","false","SMAD9"
"CDH5","false","CDH5"
"ADAM12","false","ADAM12"
"ADAMTS1","false","ADAMTS1"
"AREG","false","AREG"
"ADCY8","false","ADCY8"
"PDE5A","false","PDE5A"
"RAPGEF4","false","RAPGEF4"
"ADH1B","false","ADH1B"
"UGT2B4","false","UGT2B4"
"MGST1","false","MGST1"
"GSTM3","false","GSTM3"
"GSTP1","false","GSTP1"
"ALDH3A1","false","ALDH3A1"
"AOX1","false","AOX1"
"ADRB1","false","ADRB1"
"ADRB2","false","ADRB2"
"GRK5","false","GRK5"
"ERBB2","false","ERBB2"
"GRIA1","false","GRIA1"
"EDN1","false","EDN1"
"AGTR1","false","AGTR1"
"AKAP12","false","AKAP12"
"AGER","false","AGER"
"KRAS","false","KRAS"
"S100P","false","S100P"
"SFTPC","false","SFTPC"
"S100A12","false","S100A12"
"SFTPD","false","SFTPD"
"CD36","false","CD36"
"AGTR2","false","AGTR2"
"HSPA12B","false","HSPA12B"
"EGFR","false","EGFR"
"CAVIN1","false","CAVIN1"
"ANGPT1","false","ANGPT1"
"AKR1B10","false","AKR1B10"
"AOC3","false","AOC3"
"GAD1","false","GAD1"
"ALK","false","ALK"
"PTEN","false","PTEN"
"CD274","false","CD274"
"MYC","false","MYC"
"ALKAL2","false","ALKAL2"
"MDK","false","MDK"
"VWF","false","VWF"
"FGF2","false","FGF2"
"EGF","false","EGF"
"FGFR4","false","FGFR4"
"MET","false","MET"
"PTPRB","false","PTPRB"
"TIE1","false","TIE1"
"TEK","false","TEK"
"ANGPTL1","false","ANGPTL1"
"LILRB2","false","LILRB2"
"ANK2","false","ANK2"
"SCN4B","false","SCN4B"
"TRPM8","false","TRPM8"
"SPTBN1","false","SPTBN1"
"ANLN","false","ANLN"
"DLGAP5","false","DLGAP5"
"CCNB1","false","CCNB1"
"DEPDC1B","false","DEPDC1B"
"CDC20","false","CDC20"
"TTK","false","TTK"
"NUSAP1","false","NUSAP1"
"TYMS","false","TYMS"
"CCNA2","false","CCNA2"
"EXO1","false","EXO1"
"UBE2C","false","UBE2C"
"BIRC5","false","BIRC5"
"KIF4A","false","KIF4A"
"RRM2","false","RRM2"
"NEK2","false","NEK2"
"CDCA8","false","CDCA8"
"BUB1B","false","BUB1B"
"MELK","false","MELK"
"CENPF","false","CENPF"
"DEPDC1","false","DEPDC1"
"TOP2A","false","TOP2A"
"HMMR","false","HMMR"
"ASPM","false","ASPM"
"TPX2","false","TPX2"
"CEP55","false","CEP55"
"KIF20A","false","KIF20A"
"ANOS1","false","ANOS1"
"ARSL","false","ARSL"
"PROK2","false","PROK2"
"ANXA1","false","ANXA1"
"CDH1","false","CDH1"
"SOX2","false","SOX2"
"ANXA2","false","ANXA2"
"PLA2G4A","false","PLA2G4A"
"S100A10","false","S100A10"
"FPR2","false","FPR2"
"KCNK3","false","KCNK3"
"CAV1","false","CAV1"
"CD69","false","CD69"
"FCGR3B","false","FCGR3B"
"CD19","false","CD19"
"FCGR3A","false","FCGR3A"
"HSD17B6","false","HSD17B6"
"APC","false","APC"
"LRRK2","false","LRRK2"
"ARC","false","ARC"
"EGR1","false","EGR1"
"FOSB","false","FOSB"
"EGR3","false","EGR3"
"SH3GL3","false","SH3GL3"
"HBEGF","false","HBEGF"
"ASPA","false","ASPA"
"CDCA5","false","CDCA5"
"CCNB2","false","CCNB2"
"PCLAF","false","PCLAF"
"CDC45","false","CDC45"
"TK1","false","TK1"
"ZWINT","false","ZWINT"
"UBE2T","false","UBE2T"
"HJURP","false","HJURP"
"ATF3","false","ATF3"
"PPP1R15A","false","PPP1R15A"
"GADD45B","false","GADD45B"
"KLF6","false","KLF6"
"NR4A2","false","NR4A2"
"NR4A1","false","NR4A1"
"IL6","false","IL6"
"CEBPG","false","CEBPG"
"MAFF","false","MAFF"
"ATP1A2","false","ATP1A2"
"SCN1A","false","SCN1A"
"FXYD1","false","FXYD1"
"BDNF","false","BDNF"
"SLC6A4","false","SLC6A4"
"TAC1","false","TAC1"
"NTRK3","false","NTRK3"
"MMP9","false","MMP9"
"GDNF","false","GDNF"
"SNCA","false","SNCA"
"NRN1","false","NRN1"
"UHRF1","false","UHRF1"
"CDC25C","false","CDC25C"
"TGFBR3","false","TGFBR3"
"COMP","false","COMP"
"IBSP","false","IBSP"
"SPARC","false","SPARC"
"CBFB","false","CBFB"
"BMPER","false","BMPER"
"SPP1","false","SPP1"
"GREM1","false","GREM1"
"BPIFA1","false","BPIFA1"
"CETP","false","CETP"
"BRAF","false","BRAF"
"MLH1","false","MLH1"
"SFN","false","SFN"
"QKI","false","QKI"
"CDKN2A","false","CDKN2A"
"BTNL9","false","BTNL9"
"XDH","false","XDH"
"E2F8","false","E2F8"
"RAD54L","false","RAD54L"
"C5AR1","false","C5AR1"
"CD93","false","CD93"
"CFP","false","CFP"
"CXCR2","false","CXCR2"
"C6","false","C6"
"C8B","false","C8B"
"C7","false","C7"
"CLU","false","CLU"
"CPB2","false","CPB2"
"CAT","false","CAT"
"SOD1","false","SOD1"
"CAV2","false","CAV2"
"DLC1","false","DLC1"
"CAVIN2","false","CAVIN2"
"CLDN5","false","CLDN5"
"PTGS2","false","PTGS2"
"NOSTRIN","false","NOSTRIN"
"MMP13","false","MMP13"
"TAL1","false","TAL1"
"SOCS3","false","SOCS3"
"RUNX3","false","RUNX3"
"LIFR","false","LIFR"
"ERG","false","ERG"
"NR4A3","false","NR4A3"
"CBLC","false","CBLC"
"SH3GL2","false","SH3GL2"
"CCL18","false","CCL18"
"CXCL3","false","CXCL3"
"CXCL2","false","CXCL2"
"E2F1","false","E2F1"
"GINS1","false","GINS1"
"RGCC","false","RGCC"
"GINS2","false","GINS2"
"GZMB","false","GZMB"
"IL7R","false","IL7R"
"CD24","false","CD24"
"FCRLA","false","FCRLA"
"MME","false","MME"
"CR2","false","CR2"
"CD1A","false","CD1A"
"CD207","false","CD207"
"LAMP3","false","LAMP3"
"SELE","false","SELE"
"PECAM1","false","PECAM1"
"KLRD1","false","KLRD1"
"ROS1","false","ROS1"
"DDX53","false","DDX53"
"PRF1","false","PRF1"
"CD300LG","false","CD300LG"
"EMCN","false","EMCN"
"COL1A1","false","COL1A1"
"FABP4","false","FABP4"
"COL1A2","false","COL1A2"
