"","x"
"1","COL10A1"
"2","OCIAD2"
"3","HSPA12B"
"4","CDH5"
"5","MNX1"
"6","LOC101928718///FAM212B"
"7","BTNL9"
"8","TMPRSS4"
"9","FOXF1"
"10","RASIP1"
"11","SPTBN1"
"12","CCM2L"
"13",""
"14","SERTM1"
"15","RTKN2"
"16","PTPRB"
"17","MMRN2"
"18","DLG3"
"19","RASAL1"
"20","EDNRB"
"21","KCNK3"
"22","ROBO4"
"23","GNG11"
"24","TAL1"
"25","GOLM1"
"26","S1PR1"
"27","FENDRR"
"28","ABCC3"
"29","ASPA"
"30","EPN3"
"31","EXOSC7///CLEC3B"
"32","TEK"
"33","SEMA3G"
"34","LGI3"
"35","FAM189A1"
"36","DENND2A"
"37","FAM107A"
"38","CA4"
"39","CLDN5"
"40","ECSCR"
"41","SFN"
"42","RAMP3"
"43","GRK5"
"44","CLEC14A"
"45","MASP1"
"46","FRMD5"
"47","SERINC2"
"48","CALCRL"
"49","EMCN"
"50","C10orf67"
"51","ARHGEF26"
"52","STX11"
"53","SGPP2"
"54","DPP6"
"55","GPM6A"
"56","KL"
"57","KANK3"
"58","ADAMTSL3"
"59","TMEM184A"
"60","USHBP1"
"61","STXBP6"
"62","FHL5"
"63","SPP1"
"64","MYCT1"
"65","AGER"
"66","PLPP2"
"67","SDPR"
"68","THBD"
"69","AFF3"
"70","CD300LG"
"71","ETV4"
"72","B3GNT3"
"73","AFAP1-AS1"
"74","FGFR4"
"75","CAV1"
"76","LYVE1"
"77","MT1M"
"78","GCNT3"
"79","EPHA10"
"80","PLAC9"
"81","CCDC85A"
"82","CAV2"
"83","SNCA"
"84","ANKRD22"
"85","RNF182"
"86","KCNT2"
"87","CDCA7"
"88","IGSF9"
"89","XDH"
"90","FLJ30901///SCUBE1"
"91","TRIM2"
"92","HS6ST2"
"93","SEMA6A"
"94","APOLD1"
"95","SBK1"
"96","AOC3"
"97","AGTR1"
"98","CD24"
"99","ANGPTL1"
"100","FAM162B"
"101","NCKAP5"
"102","HBA2///HBA1"
"103","TNXB///TNXA"
"104","FAM150B"
"105","CDH19"
"106","CTHRC1"
"107","HNF4G"
"108","SH3GL3"
"109","IGSF10"
"110","LRRTM4"
"111","ATP10B"
"112","UBE2T"
"113","KIF26B"
"114","FHL1"
"115","LINC00673///LINC00511"
"116","BLACAT1"
"117","FABP4"
"118","CCBE1"
"119","PTPN5"
"120","PROM2"
"121","TTLL7"
"122","NEBL"
"123","SPDEF"
"124","CDO1"
"125","SIX4"
"126","KIAA0101"
"127","CD36"
"128","CDH3"
"129","GPER1"
"130","KDELR3"
"131","TGFBR3"
"132","PDK4"
"133","TOX3"
"134","FIBIN"
"135","UNC5CL"
"136","TOP2A"
"137","SALL4"
"138","PODXL2"
"139","FAT3"
"140","BDNF"
"141","ACTN2"
"142","SMPDL3B"
"143","CDCA8"
"144","SLC6A4"
"145","DACH1"
"146","METTL7B"
"147","BIK"
"148","RMST"
"149","TFAP2A"
"150","TINCR"
"151","SLC19A3"
"152","SOX7"
"153","TMEM100"
"154","LINC00472"
"155","SOSTDC1"
"156","ADAMTS9-AS1"
"157","LOC400568"
"158","NOSTRIN"
"159","RXFP1"
"160","ADAMTS1"
"161","GPM6B"
"162","HMMR"
"163","FLJ34503"
"164","RAD54L"
"165","LRRN3"
"166","NOS1"
"167","HMGB3"
"168","STK32A"
"169","SYT16"
"170","ANXA8L1///ANXA8"
"171","MME"
"172","MMP11"
"173","PCOLCE2"
"174","BMPER"
"175","FAM189A2"
"176","SUGCT"
"177","LOC101927069"
"178","LINC00968"
"179","FGFBP2"
"180","GRIA1"
"181","DCC"
"182","WASIR2"
"183","E2F8"
"184","CFD"
"185","GPD1"
"186","FMO2"
"187","SGCG"
"188","LOC286191"
"189","GLB1L2"
"190","ZBTB16"
"191","HBG2///HBG1"
"192","SMIM22"
"193","ADGRL3"
"194","CDC42EP2"
"195","TCF21"
"196","CCNA2"
"197","C2CD4A"
"198","FERMT1"
"199","GPA33"
"200","ERVFRD-1"
"201","GJB2"
"202","CLIC5"
"203","TRHDE"
"204","BCL2L15"
"205","PROK2"
"206","DEPDC1"
"207","SH3GL2"
"208","ACADL"
"209","FREM3"
"210","TGM1"
"211","ADRB1"
"212","AKAP12"
"213","GPIHBP1"
"214","EXOC3L1"
"215","RSPO1"
"216","KRT80"
"217","HBB"
"218","COL11A1"
"219","FCN3"
"220","GDF10"
"221","MCEMP1"
"222","ID4"
"223","WFDC2"
"224","TSPAN7"
"225","CCDC141"
"226","LOC100996760"
"227","ADRA1A"
"228","KLHDC8A"
