Gene,GO_Description_Text
NUDT4B,[BP] adenosine 5'-(hexahydrogen pentaphosphate) catabolic process; diadenosine hexaphosphate catabolic process; diadenosine pentaphosphate catabolic process; diphosphoinositol polyphosphate metabolic process [CC] cytoplasm; cytosol; nucleus [MF] RNA binding; bis(5'-adenosyl)-hexaphosphatase activity; bis(5'-adenosyl)-pentaphosphatase activity; diphosphoinositol-polyphosphate diphosphatase activity; endopolyphosphatase activity; hydrolase activity; metal ion binding; protein binding; pyrophosphatase activity
TRBV20OR9-2,[BP] cell surface receptor signaling pathway; immune system process [CC] plasma membrane [MF] None
IGKV3-7,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV1D-42,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV4-69,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV8-61,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV4-60,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV11-55,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV10-54,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV1-50,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV5-48,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV7-46,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV5-37,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV2-33,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV3-22,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
