SYMBOL,degree,is_biomarker
ABAT,14,0
ABCA6,4,0
ABCA9,2,0
ACAA2,14,0
ACACB,8,0
ACADL,10,0
ACADS,20,0
ACKR1,10,0
ACKR3,18,0
ACKR4,6,0
ACO1,8,0
ACSL1,18,0
ACSM5,4,0
ACSS2,24,0
ACSS3,14,0
ACVR1C,8,0
ADAM12,8,0
ADAMTS3,8,0
ADAMTS5,4,0
ADAMTSL4,2,0
ADCY4,28,0
ADCYAP1R1,4,0
ADGRA2,6,0
ADGRD1,4,0
ADGRL4,2,0
ADH1B,18,0
ADH1C,18,0
ADHFE1,12,0
ADIPOQ,38,0
ADIRF,2,0
ADM,4,0
ADRA1A,2,0
ADRA2A,2,0
ADRB1,6,0
ADRB2,28,0
AGPAT2,22,0
AGR2,8,0
AGTR1,6,0
AHNAK,10,0
AHNAK2,2,0
AIFM2,4,0
AKAP12,14,0
AKAP9,8,1
AKR1C1,6,0
AKR1C3,10,0
ALCAM,12,0
ALDH1A1,16,0
ALDH1L1,6,0
ALDH2,18,0
ALDH3A2,22,0
ALDH3B2,12,0
ALK,32,1
AMOTL2,4,0
ANG,4,0
ANGPT1,28,0
ANGPTL4,14,0
ANK2,20,0
ANK3,22,0
ANLN,86,0
ANO3,2,0
ANTXR2,2,0
ANXA1,20,0
AOC3,8,0
AP1M2,2,0
AP1S2,2,0
APCDD1,2,0
APOB,40,0
APOBEC3A,4,1
APOBEC3B,4,0
APOC1,12,0
AQP1,4,0
AQP3,2,0
ARHGEF6,8,0
ASPA,2,0
ASPH,4,0
ASPM,120,0
ATAD2,20,0
ATE1,2,1
ATG10,2,1
ATM,76,1
ATP1A2,4,0
ATP1B1,6,0
ATP8B4,2,0
ATR,48,1
ATXN7,10,1
AURKA,136,0
AVPR1A,4,0
AZGP1,4,0
AZIN1,2,0
BABAM1,6,1
BAMBI,6,0
BARD1,62,1
BCL11B,6,0
BCL2A1,8,0
BCL6,28,0
BCLAF1,8,0
BCOR,20,1
BGN,26,0
BHMT2,2,0
BICDL1,2,0
BIK,4,0
BIN1,14,0
BIRC5,134,0
BLM,42,0
BMP2,28,0
BMP6,6,0
BOK,2,0
BRCA1,162,1
BRCA2,88,1
BRIP1,30,1
BUB1,146,0
BUB1B,154,0
BUB3,52,0
C19orf12,2,0
C6,2,0
CA3,2,0
CA4,6,0
CALB2,6,0
CASQ2,4,0
CAT,8,0
CAV1,52,0
CAV2,6,0
CAVIN1,14,0
CAVIN2,4,0
CBX2,22,0
CBX7,26,0
CBX8,26,1
CCBE1,2,0
CCDC170,2,1
CCDC69,2,0
CCN4,4,0
CCNA2,178,0
CCNB1,178,0
CCNB2,140,0
CCNE2,32,0
CCR5,30,0
CCR7,28,0
CCT2,12,0
CD209,14,0
CD24,10,0
CD248,2,0
CD300LF,2,0
CD300LG,2,0
CD34,38,0
CD36,44,0
CD37,4,0
CD9,26,0
CD99L2,8,0
CDC14B,2,0
CDC20,152,0
CDC42EP2,2,0
CDC45,132,0
CDC7,30,0
CDCA3,94,0
CDCA5,100,0
CDCA7,2,1
CDCA8,124,0
CDCP1,2,0
CDH1,92,1
CDH11,2,0
CDH5,32,0
CDK1,210,0
CDK12,12,1
CDKN1C,26,0
CDKN2A,80,1
CDKN2B,18,1
CDKN2C,8,0
CDKN3,94,0
CDO1,2,0
CDON,2,0
CDS1,10,0
CDYL2,2,1
CEACAM6,2,0
CEBPA,46,0
CENPE,112,0
CENPF,126,0
