SYMBOL,degree,is_biomarker
A2M,34,0
AATF,6,0
ABAT,6,0
ABCA1,12,0
ABCC4,2,0
ABCG1,6,0
ABCG2,12,0
ABL2,2,0
ACACA,8,0
ACER3,4,0
ACSBG1,8,0
ACSL1,16,1
ACSL4,14,0
ACSL6,8,0
ACTA1,28,0
ACTA2,36,0
ACTC1,20,0
ACTG2,22,0
ACTN4,30,1
ADA2,2,0
ADAM12,8,0
ADAM22,4,0
ADAM28,2,0
ADAMTS2,4,0
ADAP1,2,0
ADAP2,2,0
ADCY2,22,0
ADCY8,24,0
ADCYAP1R1,2,0
ADD3,6,1
ADGRG1,2,0
ADGRL3,10,0
ADO,2,1
AGT,40,0
AHCY,2,0
AHRR,2,0
AIF1,46,0
AJUBA,2,0
AK5,4,0
AKR1C3,4,0
ALDH1A1,22,1
ALDH1A2,6,0
ALDH1A3,6,0
ALDH1L1,10,0
ALDH5A1,12,0
ALOX5,16,1
AMACR,4,1
AMMECR1,4,0
AMPH,18,0
ANKRD1,2,0
ANLN,22,0
ANO1,4,0
ANP32E,2,0
ANPEP,22,0
AOPEP,2,0
APBB1IP,18,0
APBB2,2,0
APC2,4,0
APEH,2,0
APLNR,10,0
APOC1,18,0
APOD,8,1
APOE,84,0
ARF3,4,0
ARHGAP24,2,0
ARHGAP26,4,0
ARHGEF6,8,0
ARPP19,2,0
ARPP21,2,0
ASCL1,18,0
ASTN2,6,0
ATG16L1,6,0
ATP1A2,8,0
ATP1B2,4,0
ATP2B2,2,0
ATP5MC2,4,0
ATP6V0D2,4,0
ATP6V1E1,4,1
ATRX,20,1
AURKA,38,1
B4GALNT3,2,0
BAALC,2,0
BACE2,2,0
BAG2,2,0
BBOX1,4,0
BCAN,8,1
BCAS1,2,0
BCHE,8,0
BCL11A,12,0
BCL11B,4,0
BCL6,24,1
BDNF,72,0
BLID,2,0
BLNK,12,0
BMP1,18,0
BMP4,44,0
BMP7,22,0
BMPR1B,10,1
BOC,4,0
BRAF,38,1
BRPF1,2,0
BST1,4,0
BST2,20,0
C15orf40,2,0
C1QA,40,0
C1QB,36,0
C1QC,18,0
C1R,22,0
C1S,24,0
C3,44,1
C3AR1,26,0
C5,6,0
CA2,4,0
CACNA1E,8,0
CACNA2D1,16,0
CACNB2,16,0
CACNB4,22,0
CACNG3,18,0
CALCRL,2,0
CALD1,20,0
CALU,8,0
