,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.7661141804788213,0.29466829466829464,0.4666666666666666,0.3432398465295659,0.6721532091097308,0.30319879383097614,0.23917376178101168,0.38644067796610165
GO Terms Only,0.9705340699815838,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9872670807453416,0.8697432123867689,0.8501035196687371,0.4779661016949153
Concatenated (Full),0.9797421731123389,0.8866666666666667,0.9499999999999998,0.9148148148148149,0.991614906832298,0.9165953647272299,0.9056434999567445,0.4847457627118645
Full Model,0.9779005524861878,0.8769496204278813,0.9333333333333332,0.903516732841747,0.9942028985507246,0.9550276892794424,0.8920927088930316,0.42372881355932207
Without MLP,0.6537753222836096,0.21114577424844017,0.5833333333333334,0.28704875246023887,0.6669772256728779,0.2042999744952184,0.188838886016481,0.41016949152542376
Without GCN,0.9613259668508287,0.7872222222222222,0.9,0.8378787878787879,0.9795031055900622,0.8833142446845068,0.8197132085427564,0.42372881355932207
Without SMOTE,0.8232044198895028,0.3526383526383526,0.43333333333333335,0.36738906088751283,0.7315734989648033,0.3582065342110711,0.2849834991986304,0.3559322033898305
Without SupCon,0.9834254143646408,0.923510466988728,0.9333333333333332,0.9261525907792737,0.9923395445134576,0.9223228074897772,0.9182738565509058,0.5796610169491526
Without Focal Loss,0.9650092081031308,0.8195681511470986,0.8833333333333333,0.8462653288740246,0.982919254658385,0.8673403057546075,0.8299438614454396,0.7694915254237289
Without Edge Dropout,0.9576427255985266,0.7603785103785103,0.9333333333333332,0.8349092730057736,0.9769151138716357,0.8265012925892868,0.8186954281782673,0.45762711864406785
Without Gated Fusion,0.9760589318600369,0.9138888888888888,0.8833333333333333,0.8902597402597402,0.9847826086956522,0.8924725667206318,0.882056143378525,0.48135593220338985
2 GCN Layers,0.9502762430939228,0.7508980552458814,0.8333333333333334,0.7855533677469712,0.9678053830227743,0.758180384339255,0.761772183820938,0.4508474576271187
4 GCN Layers,0.9686924493554327,0.8057142857142857,0.9500000000000001,0.870460704607046,0.9800207039337474,0.7916971931066695,0.8575303965259294,0.46779661016949153
8 GCN Layers,0.9686924493554327,0.8932558669400774,0.8166666666666668,0.8458665517489047,0.9813664596273292,0.8519349636193824,0.8340781325114639,0.488135593220339
12 GCN Layers,0.9852670349907919,0.9814814814814815,0.8833333333333333,0.9293382451277189,0.9939958592132504,0.9436653466390478,0.9230358527635677,0.5796610169491526
16 GCN Layers,0.9834254143646408,0.9197860962566845,0.9333333333333332,0.9232089232089232,0.9924430641821945,0.9210008330306318,0.9160391872600154,0.48474576271186454
20 GCN Layers,0.9668508287292816,0.833511586452763,0.8833333333333333,0.8522808522808522,0.9787784679089025,0.8538790808350423,0.8375842379647981,0.4610169491525424
