,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.7661 ± 0.1053,0.2947 ± 0.1957,0.4667 ± 0.1247,0.3432 ± 0.1719,0.6722 ± 0.1768,0.3032 ± 0.2079,0.2392 ± 0.2082,0.3864 ± 0.0785
GO Terms Only,0.9705 ± 0.0104,0.8667 ± 0.0471,0.8667 ± 0.0471,0.8667 ± 0.0471,0.9873 ± 0.0072,0.8697 ± 0.0971,0.8501 ± 0.0530,0.4780 ± 0.0911
Concatenated (Full),0.9797 ± 0.0158,0.8867 ± 0.0984,0.9500 ± 0.0408,0.9148 ± 0.0644,0.9916 ± 0.0070,0.9166 ± 0.0837,0.9056 ± 0.0708,0.4847 ± 0.1079
Full Model,0.9779 ± 0.0045,0.8769 ± 0.0360,0.9333 ± 0.0236,0.9035 ± 0.0178,0.9942 ± 0.0026,0.9550 ± 0.0239,0.8921 ± 0.0194,0.4237 ± 0.0544
Without MLP,0.6538 ± 0.1973,0.2111 ± 0.0507,0.5833 ± 0.2321,0.2870 ± 0.0354,0.6670 ± 0.0532,0.2043 ± 0.0326,0.1888 ± 0.0345,0.4102 ± 0.0666
Without GCN,0.9613 ± 0.0078,0.7872 ± 0.0532,0.9000 ± 0.0408,0.8379 ± 0.0274,0.9795 ± 0.0097,0.8833 ± 0.0193,0.8197 ± 0.0302,0.4237 ± 0.0599
Without SMOTE,0.8232 ± 0.0547,0.3526 ± 0.1547,0.4333 ± 0.0236,0.3674 ± 0.0730,0.7316 ± 0.0565,0.3582 ± 0.0962,0.2850 ± 0.0995,0.3559 ± 0.1058
Without SupCon,0.9834 ± 0.0119,0.9235 ± 0.0725,0.9333 ± 0.0624,0.9262 ± 0.0524,0.9923 ± 0.0062,0.9223 ± 0.0625,0.9183 ± 0.0580,0.5797 ± 0.0292
Without Focal Loss,0.9650 ± 0.0114,0.8196 ± 0.0575,0.8833 ± 0.1027,0.8463 ± 0.0559,0.9829 ± 0.0120,0.8673 ± 0.0739,0.8299 ± 0.0634,0.7695 ± 0.0144
Without Edge Dropout,0.9576 ± 0.0257,0.7604 ± 0.1217,0.9333 ± 0.0624,0.8349 ± 0.0925,0.9769 ± 0.0178,0.8265 ± 0.0509,0.8187 ± 0.1024,0.4576 ± 0.0691
Without Gated Fusion,0.9761 ± 0.0094,0.9139 ± 0.0888,0.8833 ± 0.0943,0.8903 ± 0.0423,0.9848 ± 0.0071,0.8925 ± 0.0455,0.8821 ± 0.0437,0.4814 ± 0.0209
2 GCN Layers,0.9503 ± 0.0078,0.7509 ± 0.0415,0.8333 ± 0.0943,0.7856 ± 0.0410,0.9678 ± 0.0074,0.7582 ± 0.0117,0.7618 ± 0.0452,0.4508 ± 0.0267
4 GCN Layers,0.9687 ± 0.0052,0.8057 ± 0.0399,0.9500 ± 0.0408,0.8705 ± 0.0189,0.9800 ± 0.0052,0.7917 ± 0.0609,0.8575 ± 0.0212,0.4678 ± 0.0785
8 GCN Layers,0.9687 ± 0.0145,0.8933 ± 0.0370,0.8167 ± 0.1434,0.8459 ± 0.0787,0.9814 ± 0.0110,0.8519 ± 0.0208,0.8341 ± 0.0822,0.4881 ± 0.0472
12 GCN Layers,0.9853 ± 0.0069,0.9815 ± 0.0262,0.8833 ± 0.0471,0.9293 ± 0.0333,0.9940 ± 0.0061,0.9437 ± 0.0629,0.9230 ± 0.0364,0.5797 ± 0.1025
16 GCN Layers,0.9834 ± 0.0078,0.9198 ± 0.0151,0.9333 ± 0.0943,0.9232 ± 0.0413,0.9924 ± 0.0045,0.9210 ± 0.0578,0.9160 ± 0.0445,0.4847 ± 0.0738
20 GCN Layers,0.9669 ± 0.0045,0.8335 ± 0.0353,0.8833 ± 0.1027,0.8523 ± 0.0321,0.9788 ± 0.0135,0.8539 ± 0.0170,0.8376 ± 0.0359,0.4610 ± 0.0267
