,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.10534327547753292,0.19570922558776746,0.1247219128924647,0.17189474363343868,0.17680862435139458,0.20786831633809225,0.20815433902305752,0.0784802501884083
GO Terms Only,0.010417779464995149,0.04714045207910316,0.04714045207910316,0.04714045207910316,0.007247855513132193,0.09711339801459375,0.05299640885911598,0.09108494130538576
Concatenated (Full),0.015842219644645727,0.09843215373488932,0.04082482904638629,0.06436350813697321,0.006976642006415815,0.08368554545368967,0.07082792794810899,0.10794361578366549
Full Model,0.004511030833854873,0.03601783696043065,0.023570226039551553,0.01777372142587042,0.002639244054654659,0.023931925446112754,0.019440762633207244,0.05444874035325087
Without MLP,0.19726843227655175,0.05069769747611869,0.23213980461973532,0.03536579717957527,0.053234278794808285,0.032615507362706936,0.03447049225382973,0.06659960238775763
Without GCN,0.00781333459874636,0.05316524437897886,0.04082482904638629,0.027356772856466323,0.009692227661072826,0.01930231531886295,0.03022044853914577,0.05987634485645997
Without SMOTE,0.05469334219122469,0.15470804736385207,0.02357022603955158,0.07297283603576342,0.05652989119045828,0.09624906968452085,0.09949397010368359,0.10579312904628635
Without SupCon,0.011935065742924257,0.07252636408945921,0.062360956446232366,0.05241130580995448,0.006212905212473574,0.062480127424795105,0.058035841667549576,0.029160424634042795
Without Focal Loss,0.01135251197600177,0.05747118486187323,0.10274023338281628,0.05587075282997555,0.011990420070865654,0.07394161617450372,0.06336951297213886,0.014381832837692475
Without Edge Dropout,0.025650807140302267,0.12166359696997234,0.062360956446232366,0.09250547464656649,0.017830042147358033,0.0509412194924229,0.10241168671609772,0.06913924764193605
Without Gated Fusion,0.009390459509379005,0.08880204090636547,0.09428090415820632,0.04232584224025613,0.007099970268936701,0.0454641471447802,0.04367348447977753,0.02089631865413211
2 GCN Layers,0.007813334598746361,0.041476558952407705,0.09428090415820636,0.04102760763072633,0.007428933796277016,0.011714167737495751,0.04519055489237003,0.026691552115294274
4 GCN Layers,0.005208889732497574,0.03986371340277397,0.04082482904638629,0.018921087568688037,0.005204888236015181,0.060894700029369524,0.0211832311188217,0.0784802501884083
8 GCN Layers,0.014500935311255651,0.0370329660372045,0.14337208778404376,0.0786875328676592,0.010956470096543608,0.020829764808058652,0.08217342246341136,0.04721487551587836
12 GCN Layers,0.00689071341947321,0.026189140043946214,0.04714045207910316,0.033330094060682415,0.006108537677818601,0.06291536252179265,0.036438409935607464,0.10248282344292184
16 GCN Layers,0.007813334598746413,0.015125278741958244,0.09428090415820632,0.04125547929702718,0.004509942217555297,0.05776485445531073,0.044523356456667454,0.07380183409178728
20 GCN Layers,0.004511030833854828,0.03532471350706613,0.10274023338281628,0.03206010904067784,0.01347585950818306,0.017008579484327446,0.035859839771490626,0.026691552115294264
