,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.740916271721959,0.47286295793758476,0.6143790849673203,0.5344053310155005,0.7184232026143791,0.4815011214061153,0.3650393803599557,0.4203389830508475
GO Terms Only,0.9447077409162717,0.8316091954022987,0.9673202614379085,0.894288784197041,0.9751225490196078,0.8699101728002918,0.8616868819003205,0.49491525423728816
Concatenated (Full),0.957345971563981,0.8848177515520316,0.9477124183006537,0.914566553642402,0.9812091503267975,0.917193491801882,0.8876906366012558,0.5898305084745763
Full Model,0.957345971563981,0.8749187784275504,0.9607843137254902,0.9156966490299824,0.978717320261438,0.892053266799773,0.8891121810648074,0.6474576271186441
Without MLP,0.7598736176935229,0.5107049785088164,0.5294117647058824,0.5161581920903955,0.7367851307189542,0.4786564260510724,0.36010768197551446,0.4983050847457628
Without GCN,0.9478672985781991,0.8320406763834786,0.9934640522875817,0.9041255484395592,0.9794117647058824,0.889505147369518,0.8766597700204661,0.4779661016949153
Without SMOTE,0.7077409162717219,0.45102960102960105,0.5882352941176471,0.4937717137448681,0.7056372549019608,0.47589851577381265,0.3166688712544284,0.264406779661017
Without SupCon,0.9541864139020536,0.8941219877781621,0.9215686274509803,0.906054605460546,0.976266339869281,0.8640353408304057,0.8773891727324425,0.6372881355932204
Without Focal Loss,0.8672985781990521,0.6502848298890916,0.9803921568627452,0.7815911127403062,0.9698120915032681,0.8450846316489087,0.7223256800874722,0.7932203389830509
Without Edge Dropout,0.9510268562401264,0.852888613946455,0.9673202614379085,0.9056116556116557,0.973529411764706,0.8626919065972851,0.8767487082039516,0.6610169491525424
Without Gated Fusion,0.957345971563981,0.886120360093723,0.9477124183006534,0.9147779000720178,0.9800245098039215,0.8809293038367505,0.8883056794373453,0.5423728813559322
2 GCN Layers,0.943127962085308,0.8558370474626633,0.9281045751633986,0.8887533404964598,0.9730800653594772,0.8840168444896656,0.8535344147933858,0.5288135593220339
4 GCN Layers,0.9510268562401264,0.8637793024585477,0.9477124183006534,0.9031858418650872,0.9735702614379086,0.8565289895942922,0.8727724299771674,0.6305084745762712
8 GCN Layers,0.933649289099526,0.8115497076023391,0.9607843137254902,0.877737537748866,0.9685866013071895,0.8523476402388083,0.8405130291880344,0.5322033898305085
12 GCN Layers,0.9541864139020536,0.8575268817204301,0.9738562091503269,0.9114768560637388,0.9845179738562092,0.9299322352332774,0.8845043552519409,0.6677966101694915
16 GCN Layers,0.9494470774091628,0.8551760283380322,0.954248366013072,0.9013867431298624,0.9794117647058824,0.9067961435864641,0.8704821153578971,0.5389830508474577
20 GCN Layers,0.9368088467614534,0.8285072951739618,0.9411764705882352,0.8795017700678077,0.9763480392156861,0.8966429546255749,0.8418199352656618,0.511864406779661
