,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.7409 ± 0.0617,0.4729 ± 0.0980,0.6144 ± 0.1244,0.5344 ± 0.1096,0.7184 ± 0.1202,0.4815 ± 0.1252,0.3650 ± 0.1537,0.4203 ± 0.0645
GO Terms Only,0.9447 ± 0.0045,0.8316 ± 0.0116,0.9673 ± 0.0092,0.8943 ± 0.0081,0.9751 ± 0.0029,0.8699 ± 0.0263,0.8617 ± 0.0108,0.4949 ± 0.0144
Concatenated (Full),0.9573 ± 0.0169,0.8848 ± 0.0337,0.9477 ± 0.0489,0.9146 ± 0.0344,0.9812 ± 0.0078,0.9172 ± 0.0362,0.8877 ± 0.0456,0.5898 ± 0.0629
Full Model,0.9573 ± 0.0102,0.8749 ± 0.0147,0.9608 ± 0.0320,0.9157 ± 0.0209,0.9787 ± 0.0096,0.8921 ± 0.0554,0.8891 ± 0.0284,0.6475 ± 0.0575
Without MLP,0.7599 ± 0.0249,0.5107 ± 0.0451,0.5294 ± 0.0480,0.5162 ± 0.0172,0.7368 ± 0.0230,0.4787 ± 0.0592,0.3601 ± 0.0285,0.4983 ± 0.0209
Without GCN,0.9479 ± 0.0271,0.8320 ± 0.0742,0.9935 ± 0.0092,0.9041 ± 0.0469,0.9794 ± 0.0106,0.8895 ± 0.0306,0.8767 ± 0.0600,0.4780 ± 0.0645
Without SMOTE,0.7077 ± 0.0626,0.4510 ± 0.0788,0.5882 ± 0.1121,0.4938 ± 0.0248,0.7056 ± 0.0186,0.4759 ± 0.0687,0.3167 ± 0.0464,0.2644 ± 0.0706
Without SupCon,0.9542 ± 0.0081,0.8941 ± 0.0229,0.9216 ± 0.0577,0.9061 ± 0.0196,0.9763 ± 0.0004,0.8640 ± 0.0242,0.8774 ± 0.0261,0.6373 ± 0.0544
Without Focal Loss,0.8673 ± 0.0134,0.6503 ± 0.0236,0.9804 ± 0.0160,0.7816 ± 0.0172,0.9698 ± 0.0062,0.8451 ± 0.0174,0.7223 ± 0.0220,0.7932 ± 0.0096
Without Edge Dropout,0.9510 ± 0.0081,0.8529 ± 0.0377,0.9673 ± 0.0185,0.9056 ± 0.0128,0.9735 ± 0.0127,0.8627 ± 0.0804,0.8767 ± 0.0157,0.6610 ± 0.0314
Without Gated Fusion,0.9573 ± 0.0039,0.8861 ± 0.0292,0.9477 ± 0.0370,0.9148 ± 0.0078,0.9800 ± 0.0013,0.8809 ± 0.0191,0.8883 ± 0.0110,0.5424 ± 0.0336
2 GCN Layers,0.9431 ± 0.0235,0.8558 ± 0.0704,0.9281 ± 0.0370,0.8888 ± 0.0424,0.9731 ± 0.0155,0.8840 ± 0.0668,0.8535 ± 0.0570,0.5288 ± 0.0840
4 GCN Layers,0.9510 ± 0.0059,0.8638 ± 0.0164,0.9477 ± 0.0370,0.9032 ± 0.0131,0.9736 ± 0.0048,0.8565 ± 0.0202,0.8728 ± 0.0186,0.6305 ± 0.0384
8 GCN Layers,0.9336 ± 0.0302,0.8115 ± 0.0791,0.9608 ± 0.0000,0.8777 ± 0.0481,0.9686 ± 0.0131,0.8523 ± 0.0451,0.8405 ± 0.0612,0.5322 ± 0.0753
12 GCN Layers,0.9542 ± 0.0089,0.8575 ± 0.0287,0.9739 ± 0.0245,0.9115 ± 0.0165,0.9845 ± 0.0029,0.9299 ± 0.0304,0.8845 ± 0.0215,0.6678 ± 0.0544
16 GCN Layers,0.9494 ± 0.0081,0.8552 ± 0.0290,0.9542 ± 0.0245,0.9014 ± 0.0142,0.9794 ± 0.0060,0.9068 ± 0.0354,0.8705 ± 0.0187,0.5390 ± 0.0501
20 GCN Layers,0.9368 ± 0.0191,0.8285 ± 0.0609,0.9412 ± 0.0160,0.8795 ± 0.0299,0.9763 ± 0.0111,0.8966 ± 0.0682,0.8418 ± 0.0377,0.5119 ± 0.0840
