,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.061712559193126716,0.09799249669500114,0.12435488621202907,0.10962415367849652,0.12016181168863546,0.12515029231107933,0.15365135389108303,0.06449592403539134
GO Terms Only,0.004468289296597451,0.011561108252578263,0.009243225897863333,0.00809928068789059,0.00285305066833896,0.026287465590250636,0.010797466746128023,0.014381832837692527
Concatenated (Full),0.016867422199101617,0.033703182727864975,0.04891055407547637,0.0344118749017713,0.007764447300991324,0.03615915252809198,0.04558861453490073,0.0628719897999709
Full Model,0.010238136964309434,0.014681122193235875,0.032019473761871635,0.020926057847611364,0.009585669803048218,0.055374363781721704,0.028354222026820596,0.057527331350770004
Without MLP,0.024878381908410113,0.04508989655795604,0.04802921064280742,0.0172100448196763,0.02296578291262979,0.05921727625700905,0.028451013098223718,0.020896318654132134
Without GCN,0.02708756429618049,0.07419675434290429,0.009243225897863385,0.04688110248658976,0.010612112994202307,0.03062015595041055,0.05999038622041627,0.06449592403539137
Without SMOTE,0.06255605015236439,0.07881561625935259,0.11206815816655062,0.024842522297209083,0.018561490974590228,0.06867396089381196,0.04637055307763799,0.0706192090033887
Without SupCon,0.008055323086244558,0.02285745088104245,0.057723927230900945,0.019599683101368216,0.0004165865615680365,0.024234785134196943,0.026077659194516437,0.05444874035325089
Without Focal Loss,0.013404867889792352,0.02361602188101885,0.016009736880935793,0.017190821438779057,0.006210493920677803,0.017435519939806132,0.021982588997773247,0.009587888558461615
Without Edge Dropout,0.008055323086244558,0.03772975281747964,0.018486451795726718,0.01277894587701788,0.012665902135004185,0.08035772167545163,0.015745938298742226,0.03143599489998544
Without Gated Fusion,0.003869652042311538,0.029221634568576214,0.03697290359145349,0.007805235229691943,0.0013007911215760818,0.01907341104848165,0.011041825567843435,0.03355760995461584
2 GCN Layers,0.023538174448264393,0.07040118894794238,0.036972903591453436,0.042386004110947076,0.015469787961386225,0.06679242128198182,0.05699799716879022,0.08399668944653467
4 GCN Layers,0.005910991132344311,0.016378219414352663,0.03697290359145349,0.013123883184785391,0.004844778130471608,0.020167310541298927,0.018648987208702787,0.03835155423384667
8 GCN Layers,0.030222948609334898,0.07912612424593216,0.0,0.04808092020650597,0.013057590211769266,0.04510025429849949,0.06115556958641218,0.07534274837590803
12 GCN Layers,0.008936578593194902,0.02869154507581083,0.024455277037738178,0.01648729017948383,0.0029040641482313543,0.030390217196752826,0.021495377713998006,0.05444874035325093
16 GCN Layers,0.008055323086244508,0.02904067157717945,0.024455277037738192,0.014211097844688811,0.006003651330350905,0.03541982307690787,0.018685449924850734,0.05005024766180815
20 GCN Layers,0.019088540242645464,0.060877514870507105,0.01600973688093584,0.029928192011114636,0.011103148579055231,0.0682476108307463,0.03773050473051491,0.0839966894465347
