,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.8939393939393939,0.7117035011771854,0.7254901960784313,0.7066276803118908,0.8958851146092238,0.6814422332037179,0.6511343473588921,0.37627118644067803
GO Terms Only,0.9621212121212123,0.8763227513227513,0.9411764705882352,0.9048834206728943,0.9798398232532449,0.8849458997769869,0.8843686892067666,0.5559322033898305
Concatenated (Full),0.9772727272727274,0.9148148148148149,0.9803921568627452,0.9454311454311455,0.9845346589339962,0.90395104560961,0.9328462967709498,0.5457627118644068
Full Model,0.9696969696969697,0.9359477124183005,0.9019607843137255,0.9178921568627452,0.9859154929577465,0.9127995818813006,0.9001265331703957,0.6508474576271187
Without MLP,0.5530303030303031,0.27991782229070367,0.607843137254902,0.35063352826510724,0.5488815244407622,0.2913712667315855,0.13851773462440314,0.43728813559322033
Without GCN,0.9621212121212123,0.8907407407407408,0.9215686274509803,0.9027348777348777,0.9776304888152444,0.863149908833755,0.8818996290586819,0.4983050847457628
Without SMOTE,0.8181818181818182,0.575925925925926,0.45098039215686275,0.4921869760579438,0.6868268434134217,0.48851044925050796,0.39687245527616866,0.4000000000000001
Without SupCon,0.9507575757575758,0.8796296296296297,0.8627450980392157,0.8704184704184703,0.971830985915493,0.8717107713935857,0.8406166761256979,0.5491525423728814
Without Focal Loss,0.9318181818181818,0.7606218258392171,0.9803921568627452,0.8516611295681064,0.9806683236674951,0.8831078848675826,0.8239398469665732,0.7491525423728814
Without Edge Dropout,0.9810606060606061,0.9444444444444443,0.9607843137254902,0.9518037518037518,0.9919911626622481,0.936997988555082,0.940646025176454,0.6135593220338983
Without Gated Fusion,0.9659090909090908,0.9215686274509803,0.9019607843137255,0.9114676173499703,0.9831538249102457,0.8971895631702589,0.8905832323498908,0.5355932203389832
2 GCN Layers,0.9659090909090909,0.8756965944272447,0.9607843137254902,0.9152387681799447,0.9729356531344933,0.8118809929631596,0.8963125903006025,0.49491525423728816
4 GCN Layers,0.9583333333333334,0.8669324827219563,0.9411764705882352,0.897079772079772,0.975973487986744,0.861684665085685,0.8766175658629173,0.5457627118644068
8 GCN Layers,0.9507575757575758,0.873015873015873,0.8627450980392157,0.8651305683563747,0.9707263186964926,0.8479915811537846,0.8371233546735719,0.5661016949152543
12 GCN Layers,0.9659090909090909,0.9052287581699346,0.9215686274509803,0.9131652661064426,0.9792874896437449,0.9173691376546049,0.8921415911599313,0.5627118644067798
16 GCN Layers,0.9583333333333334,0.9160907318802055,0.8627450980392157,0.8767195767195767,0.9762496547914941,0.8753213063219358,0.8609449797586305,0.5152542372881356
20 GCN Layers,0.9659090909090908,0.8815789473684211,0.9607843137254902,0.9184184184184184,0.9826014913007457,0.915312968102381,0.8991281925109124,0.5016949152542373
