,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.038628935709036215,0.054247000605726965,0.22697719417235737,0.14844921701182756,0.07958301261058501,0.14930789671704653,0.1640180995587329,0.08064662544657844
GO Terms Only,0.019314467854518107,0.0550890593199968,0.08318903308077032,0.05070177212739583,0.005910227715833371,0.02887280767918042,0.06200978526894382,0.07473019554253761
Concatenated (Full),0.024548260221241874,0.08429486427215585,0.027729677693590107,0.05815081430135801,0.015386233943313026,0.09571217511430279,0.07163377629215838,0.05812348542197374
Full Model,0.028345889293742006,0.05455852746329203,0.09998077477632913,0.07829721982825141,0.012232662021734361,0.07170662538314333,0.09449858844824707,0.020896318654132117
Without MLP,0.15782323224242165,0.08597137128408407,0.18183565677442554,0.025282489505180677,0.04670935150896425,0.09374993806275958,0.08191085378124653,0.03355760995461581
Without GCN,0.0053568695544435364,0.034045882057130085,0.07336583111321456,0.01970252485545529,0.0029486545849299853,0.04148469440040429,0.022948578106770222,0.04793944279230831
Without SMOTE,0.033453639645181256,0.1441830493320128,0.05545935538718021,0.03568419861874466,0.06802117905510244,0.07074284150418353,0.07302668138569406,0.05890897354909414
Without SupCon,0.03862893570903626,0.10227186127025241,0.11091871077436037,0.10371637492740526,0.023266950864209407,0.08965332542340756,0.12749588924008112,0.04573131377366795
Without Focal Loss,0.027835110713445226,0.09715170865285346,0.027729677693590107,0.05046827659120859,0.011566082072008793,0.08267762214836465,0.056336964054951144,0.05050733703644521
Without Edge Dropout,0.010713739108887073,0.04536092116265146,0.027729677693590107,0.026538675746199496,0.006942725816059984,0.0677740380055292,0.033273468072886135,0.03744190175317715
Without Gated Fusion,0.024548260221241923,0.07336583111321456,0.05545935538718021,0.06326242022201388,0.013885451632119905,0.08445897279161634,0.0786990472172725,0.028763665675385026
2 GCN Layers,0.00927837023781506,0.018860478509699602,0.05545935538718021,0.025481971752795245,0.008828703321262519,0.06534649172397249,0.03224333082694998,0.014381832837692527
4 GCN Layers,0.014172944646870977,0.06845138652789275,0.08318903308077032,0.03351743181154541,0.01137994906271003,0.05632482576431973,0.039517203809775504,0.09246224879312448
8 GCN Layers,0.03862893570903626,0.06576615288177805,0.15439231125513353,0.11237018489938386,0.01754039713692399,0.03291922620675283,0.13354274659138113,0.038050753085836685
12 GCN Layers,0.01607060866333061,0.05083774243824849,0.027729677693590107,0.0396138252765573,0.007532826123714944,0.03801740550861329,0.04942729063834259,0.09183876057046828
16 GCN Layers,0.035127342785968595,0.020887948229999523,0.1941077438551307,0.11538516809989366,0.0183687259302026,0.08852321331543803,0.12484171014905769,0.09246224879312445
20 GCN Layers,0.033453639645181256,0.10248527583813967,0.05545935538718021,0.07939837466659813,0.016164607154556074,0.07090712162882032,0.09883650828574411,0.03744190175317715
