node_idx,gene_symbol,true_label,predicted_label,predicted_score
473,ITGB3BP,1,1,0.9697177
410,HJURP,1,1,0.96664
958,TERT,1,1,0.96169865
913,SOX5,1,1,0.96011263
762,PROS1,1,1,0.9586249
920,SPI1,1,1,0.9485912
333,FREM2,1,1,0.9470914
305,FGF2,1,1,0.9469513
433,IDH2,1,1,0.94500905
147,CD163,1,1,0.9443061
278,ETNK1,1,1,0.94038874
312,FGF5,1,1,0.93952364
930,SRSF1,1,1,0.9394163
315,FGF8,1,1,0.93795204
1039,WEE1,1,1,0.9247687
444,IKZF1,0,1,0.9227559
303,FGF18,1,1,0.9206319
139,CCNA1,1,1,0.9203274
408,HHIP,1,1,0.9128908
392,H2BC12,1,1,0.91186476
