"","ensembl_gene_id","hgnc_symbol","entrezgene_id","chromosome_name","start_position","end_position","strand","ID"
"1","ENSG00000152894","PTPRK",5796,"6",127968785,128520616,-1,"387357_at"
"2","ENSG00000227945","PTPRK-AS1",NA,"6",128027886,128085248,1,"387357_at"
"3","ENSG00000301464",NA,NA,"8",111041253,111101805,1,"27012_at"
"4","ENSG00000135390","ATP5MC2",517,"12",53632726,53677408,-1,"9840_at"
"5","ENSG00000213470","RPL31P51",NA,"12",53632788,53633151,-1,"9840_at"
"6","ENSG00000261761","LINC02616",100508631,"4",37001763,37133849,1,"57495_at"
"7","ENSG00000261761","LINC02616",101928721,"4",37001763,37133849,1,"57495_at"
"8","ENSG00000293926","",NA,"4",37073330,37247302,-1,"57495_at"
"9","ENSG00000293998","",NA,"4",37111976,37129687,-1,"57495_at"
"10","ENSG00000013374","NUB1",51667,"7",151341772,151378449,1,"168391_at"
"11","ENSG00000240567","LINC02067",101243545,"3",161426427,161448242,1,"401097_at"
"12","ENSG00000105851","PIK3CG",5294,"7",106865278,106908980,1,"2845_at"
"13","ENSG00000091844","RGS17",26575,"6",153004459,153131282,-1,"7432_at"
"14","ENSG00000204131","NHSL2",340527,"X",71910845,72161750,1,"645974_at"
"15","ENSG00000173200","PARP15",165631,"3",122577628,122639047,1,"9515_at"
"16","ENSG00000170917","NUDT6",11162,"4",122888697,122922968,-1,"132332_at"
"17","ENSG00000122733","PHF24",23349,"9",34957608,34982544,1,"23349_at"
"18","ENSG00000006116","CACNG3",10368,"16",24256335,24362412,1,"10368_at"
"19","ENSG00000242808","SOX2-OT",347689,"3",180989510,181836880,1,"51555_at"
"20","ENSG00000305283",NA,124905959,"2",191499407,191676312,1,"6775_at"
"21","ENSG00000241472","PTPRG-AS1",100506994,"3",62214400,62369406,-1,"55079_at"
"22","ENSG00000114405","CEP15",57415,"3",62319015,62336213,1,"55079_at"
"23","ENSG00000075151","EIF4G3",8672,"1",20806292,21177285,-1,"400745_at"
"24","ENSG00000275385","CCL18",6362,"17",36064272,36072032,1,"125113_at"
"25","ENSG00000178105","DDX10",1662,"11",108665058,108940999,1,"399947_at"
"26","ENSG00000232527","LINC02802",100996732,"1",144135212,144250375,-1,"284615_at"
"27","ENSG00000232527","LINC02802",107985200,"1",144135212,144250375,-1,"284615_at"
"28","ENSG00000275767","",NA,"1",144179777,144211729,1,"284615_at"
"29","ENSG00000203709","MIR29B2CHG",NA,"1",207760650,207879121,-1,"57172_at"
"30","ENSG00000196090","PTPRT",11122,"20",42072752,43189970,-1,"3787_at"
"31","ENSG00000182601","HS3ST4",9951,"16",25691959,26137685,1,"9951_at"
"32","ENSG00000156983","BRPF1",7862,"3",9731729,9748019,1,"151835_at"
"33","ENSG00000120669","SOHLH2",54937,"13",36168217,36214588,-1,"400120_at"
"34","ENSG00000250709","CCDC169-SOHLH2",100526761,"13",36168794,36297842,-1,"400120_at"
"35","ENSG00000005175","RPAP3",79657,"12",47661249,47706030,-1,"23109_at"
"36","ENSG00000154162","CDH12",1010,"5",21750673,22853344,-1,"1010_at"
"37","ENSG00000257315","ZBED6",100381270,"1",203795623,203854124,1,"148808_at"
"38","ENSG00000058673","ZC3H11A",9877,"1",203795623,203854999,1,"148808_at"
"39","ENSG00000069424","KCNAB2",8514,"1",5990927,6101193,1,"26038_at"
"40","ENSG00000134343","ANO3",63982,"11",26188842,26663289,1,"63982_at"
"41","ENSG00000300991","",NA,"11",26622026,26640977,-1,"63982_at"
"42","ENSG00000228963","OR7E93P",NA,"3",125724539,125725445,1,"8997_at"
"43","ENSG00000239978","OR7E53P",NA,"3",125734295,125735198,1,"8997_at"
"44","ENSG00000179170","OR7E97P",NA,"3",125747084,125748098,1,"8997_at"
"45","ENSG00000239432","VPS51P6",NA,"3",125756086,125756462,1,"8997_at"
"46","ENSG00000284624","",NA,"3",125758965,125911791,1,"8997_at"
"47","ENSG00000284660","",NA,"3",125766601,125766818,1,"8997_at"
"48","ENSG00000241288","LINC02614",101927056,"3",125782336,125916427,-1,"8997_at"
"49","ENSG00000239804","RPS24P9",NA,"3",125787888,125788146,-1,"8997_at"
"50","ENSG00000221737","MIR548I1",100302204,"3",125790404,125790552,-1,"8997_at"
"51","ENSG00000242229","RPS3AP14",NA,"3",125795106,125795885,1,"8997_at"
"52","ENSG00000287617","",NA,"3",125799887,125800616,-1,"8997_at"
"53","ENSG00000241346","SNRPCP11",NA,"3",125816082,125816286,-1,"8997_at"
"54","ENSG00000241278","ENPP7P4",NA,"3",125848223,125909372,1,"8997_at"
"55","ENSG00000291071","FAM86JP",100125556,"3",125915413,125944291,1,"8997_at"
"56","ENSG00000171084","FAM86JP",NA,"3",125916624,125928595,1,"8997_at"
"57","ENSG00000177103","DSCAML1",57453,"11",117427772,117817525,-1,"6327_at"
"58","ENSG00000089154","GCN1",10985,"12",120127202,120194715,-1,"10645_at"
"59","ENSG00000248636",NA,105370027,"12",119361247,119668508,-1,"9478_at"
"60","ENSG00000095637","SORBS1",10580,"10",95311771,95561414,-1,"5950_at"
"61","ENSG00000127324","TSPAN8",7103,"12",71125085,71441898,-1,"29953_at"
"62","ENSG00000140391","TSPAN3",10099,"15",77041404,77083984,-1,"5923_at"
"63","ENSG00000259652","",NA,"15",77043680,77045160,1,"5923_at"
"64","ENSG00000278991","",NA,"15",77063397,77064910,-1,"5923_at"
"65","ENSG00000155307","SAMSN1",64092,"21",14485228,14658821,-1,"54033_at"
"66","ENSG00000287260",NA,101928868,"6",154510752,154522383,1,"26034_at"
"67","ENSG00000204529","GUCY2EP",NA,"11",76694041,76719801,-1,"5058_at"
"68","ENSG00000299592","",NA,"11",76709968,76711749,-1,"5058_at"
"69","ENSG00000290785","",NA,"11",76712396,76719608,-1,"5058_at"
"70","ENSG00000254632","",NA,"11",76750468,76769806,-1,"5058_at"
"71","ENSG00000309978","",105369397,"11",76752666,76758304,1,"5058_at"
"72","ENSG00000255100","TSKU-AS1",NA,"11",76782212,76783118,-1,"5058_at"
