#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA12	TGM1	9606.ENSP00000272895	9606.ENSP00000206765	0	0	0	0	0.079	0	0	0.951	0.952
ABCA4	RS1	9606.ENSP00000359245	9606.ENSP00000369320	0	0	0	0	0.110	0	0	0.753	0.771
ABCC3	SLCO1A2	9606.ENSP00000285238	9606.ENSP00000305974	0	0	0	0	0	0	0	0.721	0.721
ACKR1	ACKR4	9606.ENSP00000357103	9606.ENSP00000249887	0	0	0	0	0.061	0	0	0.741	0.747
ACKR1	CXCL5	9606.ENSP00000357103	9606.ENSP00000296027	0	0	0	0	0.042	0	0	0.897	0.897
ACKR1	PPBP	9606.ENSP00000357103	9606.ENSP00000296028	0	0	0	0	0.055	0	0	0.834	0.836
ACKR1	CXCL8	9606.ENSP00000357103	9606.ENSP00000306512	0	0	0	0	0	0.292	0.900	0.990	0.999
ACKR4	CXCL12	9606.ENSP00000249887	9606.ENSP00000379140	0	0	0	0	0.088	0.046	0	0.858	0.865
ACKR4	CXCL13	9606.ENSP00000249887	9606.ENSP00000286758	0	0	0	0	0.064	0.287	0	0.990	0.992
ACTN2	CASQ2	9606.ENSP00000355537	9606.ENSP00000261448	0	0	0	0	0.366	0.062	0	0.541	0.703
ACTN2	SYNPO2	9606.ENSP00000355537	9606.ENSP00000306015	0	0	0	0	0.143	0.355	0	0.560	0.736
ACTN2	NEBL	9606.ENSP00000355537	9606.ENSP00000366326	0	0	0	0	0.148	0.091	0	0.772	0.808
ACTN2	LDB3	9606.ENSP00000355537	9606.ENSP00000401437	0	0	0	0	0.393	0.230	0	0.947	0.973
ACVRL1	TGFBR2	9606.ENSP00000373574	9606.ENSP00000351905	0	0	0	0.751	0.155	0.528	0.800	0.916	0.992
ACVRL1	BMP2	9606.ENSP00000373574	9606.ENSP00000368104	0	0	0	0	0.086	0.457	0.540	0.678	0.916
ACVRL1	SMAD9	9606.ENSP00000373574	9606.ENSP00000369154	0	0	0	0	0.077	0.126	0	0.897	0.910
ACVRL1	CDH5	9606.ENSP00000373574	9606.ENSP00000497290	0	0	0	0	0.227	0.095	0	0.628	0.717
ADAM12	TGFBR2	9606.ENSP00000357668	9606.ENSP00000351905	0	0	0	0	0.067	0	0	0.849	0.853
ADAMTS1	AREG	9606.ENSP00000284984	9606.ENSP00000379097	0	0	0	0	0.061	0	0	0.717	0.722
ADCY8	PDE5A	9606.ENSP00000286355	9606.ENSP00000347046	0	0	0	0	0.055	0.126	0.670	0.556	0.863
ADCY8	RAPGEF4	9606.ENSP00000286355	9606.ENSP00000380271	0	0	0	0	0.160	0	0.900	0.691	0.971
ADGRL2	UNC5CL	9606.ENSP00000359765	9606.ENSP00000244565	0	0	0	0	0.097	0.967	0	0.082	0.970
ADGRL2	FLRT3	9606.ENSP00000359765	9606.ENSP00000339912	0	0	0	0	0.097	0.514	0	0.732	0.872
ADGRL3	UNC5CL	9606.ENSP00000422533	9606.ENSP00000244565	0	0	0	0	0.097	0.967	0	0.069	0.969
ADGRL3	FLRT3	9606.ENSP00000422533	9606.ENSP00000339912	0	0	0	0	0.074	0.972	0	0.969	0.999
ADH1B	UGT2B4	9606.ENSP00000306606	9606.ENSP00000305221	0	0	0	0	0.080	0	0.650	0.172	0.710
ADH1B	MGST1	9606.ENSP00000306606	9606.ENSP00000379512	0	0	0	0	0.111	0	0.650	0.116	0.701
ADH1B	GSTM3	9606.ENSP00000306606	9606.ENSP00000354357	0	0	0	0	0.075	0.070	0.650	0.183	0.721
ADH1B	GSTP1	9606.ENSP00000306606	9606.ENSP00000381607	0	0	0	0	0.064	0.096	0.650	0.309	0.767
ADH1B	ALDH3A1	9606.ENSP00000306606	9606.ENSP00000411821	0.048	0.001	0	0	0.120	0	0.706	0.488	0.857
ADH1B	AOX1	9606.ENSP00000306606	9606.ENSP00000363832	0	0	0	0	0.263	0	0.900	0.406	0.952
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0	0	0.935	0.049	0.237	0.900	0.469	0.956
ADRB1	GRK5	9606.ENSP00000358301	9606.ENSP00000376609	0	0	0	0	0.047	0.097	0	0.735	0.752
ADRB2	ERBB2	9606.ENSP00000305372	9606.ENSP00000269571	0	0	0	0	0	0.314	0	0.752	0.822
ADRB2	GRIA1	9606.ENSP00000305372	9606.ENSP00000428994	0	0	0	0	0	0.100	0	0.687	0.706
ADRB2	RAPGEF4	9606.ENSP00000305372	9606.ENSP00000380271	0	0	0	0	0.045	0	0	0.752	0.753
ADRB2	EDN1	9606.ENSP00000305372	9606.ENSP00000368683	0	0	0	0	0.045	0.128	0.650	0.431	0.812
