ID	adj.P.Val	P.Value	t	B	logFC	ORF	Chr	Chr.Strand	Chr.From	Chr.To
387357_at	5.17e-68	2.95e-72	24.5737522	153.53019	2.91066862	387357	6	-	128071560	128071079
59350_at	9.76e-64	1.11e-67	23.2477961	143.15069	3.56541836	59350	4	+	159787725	159792681
27012_at	2.96e-63	5.06e-67	23.0592628	141.65836	3.69331663	27012	8	-	111048935	111048445
9840_at	1.24e-58	2.83e-62	21.7114254	130.87746	4.00114605	9840	12	-	53642557	53628492
57495_at	1.54e-55	4.39e-59	20.817738	123.62851	3.61623722	57495	4	+	37126905	37127268
63974_at	6.54e-55	2.24e-58	20.6208125	122.02139	3.46533334	63974	7	-	31344730	31344288
1006_at	9.10e-48	3.63e-51	18.6316999	105.62255	2.00866986	1006	16	-	60245476	60244953
168391_at	2.41e-47	1.10e-50	18.5001403	104.52918	2.14619127	168391	7	+	151342693	151347778
23676_at	5.91e-47	3.03e-50	18.3794596	103.52549	1.83363884	23676	X	-	21665652	21634074
401097_at	5.15e-45	2.94e-48	17.8368127	99.00481	4.61129326	401097	3	+	161428343	161428603
150538_at	2.25e-44	1.41e-47	17.6510812	97.45512	0.80631051	150538	2	+	200045283	200049788
2845_at	9.25e-44	6.33e-47	17.4731773	95.96985	3.51920132	2845	7	+	106902516	106902905
7432_at	3.69e-43	2.74e-46	17.2998248	94.52187	2.9639373	7432	6	+	153122077	153122568
645974_at	8.08e-43	6.81e-46	17.192056	93.62142	2.48261021	645974	X	+	72141918	72142177
9515_at	8.08e-43	6.91e-46	17.190242	93.60626	2.90039352	9515	3	+	122620801	122621272
132332_at	9.93e-43	9.06e-46	17.1582437	93.33886	4.35495726	132332	4	-	122900028	122899612
118427_at	3.77e-42	3.65e-45	16.9932526	91.95988	4.53325217	118427	1	-	102042055	102040757
23349_at	5.20e-42	5.55e-45	16.9438696	91.54708	3.84417678	23349	9	+	34971954	34972498
10368_at	5.20e-42	5.64e-45	16.9419265	91.53084	4.51995407	10368	16	+	24280717	24281166
51555_at	8.45e-42	9.64e-45	16.8785222	91.00081	3.65587881	51555	3	-	181002022	181000779
10716_at	1.09e-41	1.30e-44	16.8428899	90.70292	3.95309591	10716	2	+	161989212	161989754
6775_at	3.97e-41	4.99e-44	16.6840888	89.3753	3.95753263	6775	2	-	191606034	191602643
23281_at	8.58e-40	1.13e-42	16.3154474	86.29351	1.93816839	23281	13	+	28973259	28975826
